NA	0.010271	-0.002371	-0.007373	0.000291	0.004458	-0.001160	0.002869	0.003762	-0.003581	-0.000855	0.000861	-0.008152	-0.001661	0.003271	-0.004698	-0.001988	0.003928	-0.001549	-0.001364	0.002303	0.001656	0.005686	0.006018	-0.005092	-0.002709	-0.001794	-0.003548	-0.002174	0.002937	0.003026	0.005761	
0.010271	NA	0.010346	-0.004801	-0.005947	-0.002739	0.002563	0.004469	-0.001575	0.004277	0.002776	0.002009	0.005759	-0.008731	-0.004004	0.004904	0.000813	-0.007561	0.006359	-0.000204	-0.001818	-0.004200	-0.003545	-0.012232	0.012145	-0.000844	0.006160	-0.002647	0.002735	0.002927	-0.004494	-0.004414	
-0.002371	0.010346	NA	-0.000437	0.003853	-0.002414	-0.001294	-0.007094	-0.001227	0.000282	-0.001965	-0.003101	0.002573	0.011424	0.000358	-0.000953	0.001916	0.005649	-0.006331	0.002870	0.001836	0.000387	-0.003085	0.004708	-0.003820	0.003046	-0.000630	0.003185	0.003048	-0.004332	0.000715	-0.001607	
-0.007373	-0.004801	-0.000437	NA	0.001682	-0.002325	0.004637	-0.001102	0.000298	-0.001243	-0.001289	0.006063	-0.004060	-0.004335	0.001572	-0.000829	-0.006318	0.003875	0.009121	-0.004550	-0.012235	0.004241	0.012154	0.003944	-0.009268	-0.000403	-0.010615	0.005049	-0.012487	0.014110	-0.001472	0.005298	
0.000291	-0.005947	0.003853	0.001682	NA	-0.003567	-0.008588	-0.006439	0.033560	-0.020472	-0.014446	0.000989	-0.004428	0.006337	0.014797	0.003218	-0.002594	0.015720	-0.010885	-0.000967	0.009229	-0.003108	0.001343	0.007144	0.000920	0.000790	-0.000502	-0.004945	-0.000718	0.003572	-0.004831	-0.000087	
0.004458	-0.002739	-0.002414	-0.002325	-0.003567	NA	0.043291	-0.013727	-0.001256	-0.002232	0.006043	0.029205	-0.041326	0.026985	-0.017934	0.014355	-0.001799	0.000326	0.004639	-0.007561	0.001830	0.002945	0.004908	-0.004543	-0.001419	-0.004195	0.002251	-0.005587	-0.000260	0.000407	0.004024	-0.031710	
-0.001160	0.002563	-0.001294	0.004637	-0.008588	0.043291	NA	-0.020538	-0.001322	0.010290	0.001578	-0.002861	-0.043134	0.053497	0.008363	0.004787	-0.028052	0.000957	-0.000435	-0.000253	-0.006043	0.003217	-0.003415	0.000086	0.004025	0.003898	-0.001671	0.000331	0.001026	0.002380	-0.006904	-0.011772	
0.002869	0.004469	-0.007094	-0.001102	-0.006439	-0.013727	-0.020538	NA	0.017524	-0.006224	-0.004704	0.012183	-0.021732	-0.001727	0.001611	0.041545	0.008167	-0.007058	0.010201	0.005399	-0.008067	-0.002663	-0.007170	-0.007726	0.004198	-0.001216	0.007580	0.004247	-0.003150	0.001884	0.002917	-0.011653	
0.003762	-0.001575	-0.001227	0.000298	0.033560	-0.001256	-0.001322	0.017524	NA	-0.031068	-0.003629	0.004905	-0.002101	-0.005618	-0.009776	-0.005903	-0.005115	-0.002459	0.003440	-0.002625	-0.001911	0.001042	-0.001065	0.005188	-0.008316	-0.001159	-0.002282	0.005250	-0.004177	0.004700	-0.002414	0.010691	
-0.003581	0.004277	0.000282	-0.001243	-0.020472	-0.002232	0.010290	-0.006224	-0.031068	NA	0.096645	0.011466	0.003446	0.000073	-0.013954	-0.011206	0.006016	-0.004051	-0.000223	0.004494	-0.000825	-0.004694	0.001564	-0.003192	0.001920	0.000854	0.001746	0.002354	-0.002423	0.001212	0.001437	0.003821	
