"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"	File1	File2
"969"	"eland"	"D2301170597"	77.28	"Taurotragus"	"oryx"	NA	"2266"	"dry skin"	"94-04-21"	"BP07"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0597"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170597/230302_SEQ061_FP200009145_L01_SP2302150588/FP200009145_L01_339_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170597/230302_SEQ061_FP200009145_L01_SP2302150588/FP200009145_L01_339_2.fq.gz
"970"	"eland"	"D2301170598"	74.48	"Taurotragus"	"oryx"	NA	"2263"	"dry skin"	"94-04-21"	"BP08"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0598"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170598/230302_SEQ061_FP200009145_L01_SP2302150589/FP200009145_L01_340_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170598/230302_SEQ061_FP200009145_L01_SP2302150589/FP200009145_L01_340_2.fq.gz
"971"	"eland"	"D2301170599"	84.26	"Taurotragus"	"oryx"	NA	"2262"	"dry skin"	"94-04-21"	"BP09"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0599"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170599/230302_SEQ061_FP200009145_L01_SP2302150590/FP200009145_L01_341_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170599/230302_SEQ061_FP200009145_L01_SP2302150590/FP200009145_L01_341_2.fq.gz
"1484"	"eland"	"D2301170727"	56.98	"Taurotragus"	"oryx"	NA	"1223"	"earnick"	"94-07-27"	"EA08"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0727"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170727/230302_SEQ062_FP200009146_L01_SP2302150704/FP200009146_L01_361_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170727/230302_SEQ062_FP200009146_L01_SP2302150704/FP200009146_L01_361_2.fq.gz
"1485"	"eland"	"D2301170728"	58.36	"Taurotragus"	"oryx"	NA	"7"	"earnick"	"94-07-27"	"EA09"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0728"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170728/230302_SEQ062_FP200009146_L01_SP2302150705/FP200009146_L01_362_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170728/230302_SEQ062_FP200009146_L01_SP2302150705/FP200009146_L01_362_2.fq.gz
"1486"	"eland"	"D2301170729"	68.28	"Taurotragus"	"oryx"	NA	"8"	"earnick"	"94-07-27"	"EA10"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0729"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170729/230302_SEQ062_FP200009146_L01_SP2302150706/FP200009146_L01_363_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170729/230302_SEQ062_FP200009146_L01_SP2302150706/FP200009146_L01_363_2.fq.gz
"1487"	"eland"	"D2301170730"	55.28	"Taurotragus"	"oryx"	NA	"9"	"earnick"	"94-07-27"	"EA11"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0730"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170730/230315_SEQ024_FP150000985BL_L01_SP2302150707/FP150000985BL_L01_364_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170730/230315_SEQ024_FP150000985BL_L01_SP2302150707/FP150000985BL_L01_364_2.fq.gz
"1487"	"eland"	"D2301170730"	55.28	"Taurotragus"	"oryx"	NA	"9"	"earnick"	"94-07-27"	"EA11"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0730"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170730/230302_SEQ062_FP200009146_L01_SP2302150707/FP200009146_L01_364_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170730/230302_SEQ062_FP200009146_L01_SP2302150707/FP200009146_L01_364_2.fq.gz
"1488"	"eland"	"D2301170731"	57.2	"Taurotragus"	"oryx"	NA	"2244"	"earnick"	"94-07-27"	"EA12"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0731"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170731/230315_SEQ024_FP150000985BL_L01_SP2302150708/FP150000985BL_L01_365_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170731/230315_SEQ024_FP150000985BL_L01_SP2302150708/FP150000985BL_L01_365_2.fq.gz
"1488"	"eland"	"D2301170731"	57.2	"Taurotragus"	"oryx"	NA	"2244"	"earnick"	"94-07-27"	"EA12"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0731"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170731/230302_SEQ062_FP200009146_L01_SP2302150708/FP200009146_L01_365_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170731/230302_SEQ062_FP200009146_L01_SP2302150708/FP200009146_L01_365_2.fq.gz
"1489"	"eland"	"D2301170732"	56.28	"Taurotragus"	"oryx"	NA	"2228"	"earnick"	"94-07-27"	"EA13"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0732"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170732/230302_SEQ062_FP200009146_L01_SP2302150709/FP200009146_L01_366_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170732/230302_SEQ062_FP200009146_L01_SP2302150709/FP200009146_L01_366_2.fq.gz
"1490"	"eland"	"D2301170733"	50.42	"Taurotragus"	"oryx"	NA	"2218"	"earnick"	"94-07-27"	"EA14"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0733"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170733/230302_SEQ062_FP200009146_L01_SP2302150710/FP200009146_L01_368_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170733/230302_SEQ062_FP200009146_L01_SP2302150710/FP200009146_L01_368_2.fq.gz
"1491"	"eland"	"D2301170734"	59.96	"Taurotragus"	"oryx"	NA	"2217"	"earnick"	"94-07-27"	"EA15"	"E.C. Anderson"	"M"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0734"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170734/230315_SEQ024_FP150000985BL_L01_SP2302150711/FP150000985BL_L01_369_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170734/230315_SEQ024_FP150000985BL_L01_SP2302150711/FP150000985BL_L01_369_2.fq.gz
"1491"	"eland"	"D2301170734"	59.96	"Taurotragus"	"oryx"	NA	"2217"	"earnick"	"94-07-27"	"EA15"	"E.C. Anderson"	"M"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0734"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170734/230302_SEQ062_FP200009146_L01_SP2302150711/FP200009146_L01_369_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170734/230302_SEQ062_FP200009146_L01_SP2302150711/FP200009146_L01_369_2.fq.gz
"1492"	"eland"	"D2301170735"	55.56	"Taurotragus"	"oryx"	NA	"2203"	"earnick"	"94-07-27"	"EA16"	"E.C. Anderson"	"M"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0735"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170735/230302_SEQ062_FP200009146_L01_SP2302150712/FP200009146_L01_370_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170735/230302_SEQ062_FP200009146_L01_SP2302150712/FP200009146_L01_370_2.fq.gz
"1493"	"eland"	"D2301170736"	52.52	"Taurotragus"	"oryx"	NA	"2241"	"earnick"	"94-07-27"	"EA17"	"E.C. Anderson"	"M"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0736"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170736/230302_SEQ062_FP200009146_L01_SP2302150713/FP200009146_L01_371_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170736/230302_SEQ062_FP200009146_L01_SP2302150713/FP200009146_L01_371_2.fq.gz
"1494"	"eland"	"D2301170737"	70.22	"Taurotragus"	"oryx"	NA	"2204"	"earnick"	"94-07-27"	"EA18"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0737"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170737/230302_SEQ062_FP200009146_L01_SP2302150714/FP200009146_L01_372_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170737/230302_SEQ062_FP200009146_L01_SP2302150714/FP200009146_L01_372_2.fq.gz
"1495"	"eland"	"D2301170738"	56.26	"Taurotragus"	"oryx"	NA	"2220"	"earnick"	"94-07-27"	"EA19"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0738"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170738/230302_SEQ062_FP200009146_L01_SP2302150715/FP200009146_L01_373_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170738/230302_SEQ062_FP200009146_L01_SP2302150715/FP200009146_L01_373_2.fq.gz
"1496"	"eland"	"D2301170739"	62.3	"Taurotragus"	"oryx"	NA	"2233"	"earnick"	"94-07-27"	"EA20"	"E.C. Anderson"	"M"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0739"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170739/230302_SEQ062_FP200009146_L01_SP2302150716/FP200009146_L01_374_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170739/230302_SEQ062_FP200009146_L01_SP2302150716/FP200009146_L01_374_2.fq.gz
"1497"	"eland"	"D2301170740"	57.98	"Taurotragus"	"oryx"	NA	"2234"	"earnick"	"94-07-27"	"EA21"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0740"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170740/230311_SEQ024_FP150001264BL_L01_SP2302150717/FP150001264BL_L01_375_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170740/230311_SEQ024_FP150001264BL_L01_SP2302150717/FP150001264BL_L01_375_2.fq.gz
"1497"	"eland"	"D2301170740"	57.98	"Taurotragus"	"oryx"	NA	"2234"	"earnick"	"94-07-27"	"EA21"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0740"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170740/230302_SEQ062_FP200009146_L01_SP2302150717/FP200009146_L01_375_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170740/230302_SEQ062_FP200009146_L01_SP2302150717/FP200009146_L01_375_2.fq.gz
"1498"	"eland"	"D2301170741"	57.88	"Taurotragus"	"oryx"	NA	"2223"	"earnick"	"94-07-27"	"EA22"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0741"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170741/230311_SEQ024_FP150001264BL_L01_SP2302150718/FP150001264BL_L01_376_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170741/230311_SEQ024_FP150001264BL_L01_SP2302150718/FP150001264BL_L01_376_2.fq.gz
"1498"	"eland"	"D2301170741"	57.88	"Taurotragus"	"oryx"	NA	"2223"	"earnick"	"94-07-27"	"EA22"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0741"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170741/230302_SEQ062_FP200009146_L01_SP2302150718/FP200009146_L01_376_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170741/230302_SEQ062_FP200009146_L01_SP2302150718/FP200009146_L01_376_2.fq.gz
"1914"	"eland"	"D2301170600"	73.36	"Taurotragus"	"oryx"	NA	"12"	"skin"	"94-06-??"	"2"	NA	"M"	"+"	"Botswana"	"Chobe"	"Box1"	"ToryBot_0600"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170600/230302_SEQ061_FP200009145_L01_SP2302150591/FP200009145_L01_342_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170600/230302_SEQ061_FP200009145_L01_SP2302150591/FP200009145_L01_342_2.fq.gz
"1927"	"eland"	"D2301170601"	57.84	"Taurotragus"	"oryx"	NA	"13"	"skin"	"94-06-21"	NA	NA	"M"	"+"	"Botswana"	"Kazuma Forest R"	"Box1"	"ToryBot_0601"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170601/230302_SEQ061_FP200009145_L01_SP2302150592/FP200009145_L01_343_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170601/230302_SEQ061_FP200009145_L01_SP2302150592/FP200009145_L01_343_2.fq.gz
"1932"	"eland"	"D2301170602"	65.64	"Taurotragus"	"oryx"	NA	"14"	"skin"	"94-06-??"	"26"	NA	"M"	"+"	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0602"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170602/230311_SEQ024_FP150001264BL_L01_SP2302150593/FP150001264BL_L01_344_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170602/230311_SEQ024_FP150001264BL_L01_SP2302150593/FP150001264BL_L01_344_2.fq.gz
"1932"	"eland"	"D2301170602"	65.64	"Taurotragus"	"oryx"	NA	"14"	"skin"	"94-06-??"	"26"	NA	"M"	"+"	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0602"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170602/230302_SEQ061_FP200009145_L01_SP2302150593/FP200009145_L01_344_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170602/230302_SEQ061_FP200009145_L01_SP2302150593/FP200009145_L01_344_2.fq.gz
"1962"	"eland"	"D2301170603"	75.72	"Taurotragus"	"oryx"	NA	"15"	"skin"	"94-06-??"	"32"	NA	"M"	"+"	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0603"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170603/230302_SEQ061_FP200009145_L01_SP2302150594/FP200009145_L01_345_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170603/230302_SEQ061_FP200009145_L01_SP2302150594/FP200009145_L01_345_2.fq.gz
"1997"	"eland"	"D2301170604"	63	"Taurotragus"	"oryx"	NA	"17"	"skin"	"94-06-??"	"132"	NA	"M"	NA	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0604"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170604/230302_SEQ061_FP200009145_L01_SP2302150595/FP200009145_L01_346_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170604/230302_SEQ061_FP200009145_L01_SP2302150595/FP200009145_L01_346_2.fq.gz
"1997"	"eland"	"D2301170604"	63	"Taurotragus"	"oryx"	NA	"17"	"skin"	"94-06-??"	"132"	NA	"M"	NA	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0604"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170604/230311_SEQ024_FP150001264BL_L01_SP2302150595/FP150001264BL_L01_346_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170604/230311_SEQ024_FP150001264BL_L01_SP2302150595/FP150001264BL_L01_346_2.fq.gz
"2008"	"eland"	"D2301170605"	61.82	"Taurotragus"	"oryx"	NA	"18"	"skin"	"94-06-??"	"126"	NA	"M"	NA	"Botswana"	"Chobe"	"Box1"	"ToryBot_0605"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170605/230302_SEQ061_FP200009145_L01_SP2302150596/FP200009145_L01_347_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170605/230302_SEQ061_FP200009145_L01_SP2302150596/FP200009145_L01_347_2.fq.gz
