"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"
"1496"	"eland"	"D2301170739"	62.3	"Taurotragus"	"oryx"	NA	"2233"	"earnick"	"94-07-27"	"EA20"	"E.C. Anderson"	"M"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0739"
"1497"	"eland"	"D2301170740"	57.98	"Taurotragus"	"oryx"	NA	"2234"	"earnick"	"94-07-27"	"EA21"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0740"
"1498"	"eland"	"D2301170741"	57.88	"Taurotragus"	"oryx"	NA	"2223"	"earnick"	"94-07-27"	"EA22"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0741"
"1914"	"eland"	"D2301170600"	73.36	"Taurotragus"	"oryx"	NA	"12"	"skin"	"94-06-??"	"2"	NA	"M"	"+"	"Botswana"	"Chobe"	"Box1"	"ToryBot_0600"
"1927"	"eland"	"D2301170601"	57.84	"Taurotragus"	"oryx"	NA	"13"	"skin"	"94-06-21"	NA	NA	"M"	"+"	"Botswana"	"Kazuma Forest R"	"Box1"	"ToryBot_0601"
"1932"	"eland"	"D2301170602"	65.64	"Taurotragus"	"oryx"	NA	"14"	"skin"	"94-06-??"	"26"	NA	"M"	"+"	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0602"
"1962"	"eland"	"D2301170603"	75.72	"Taurotragus"	"oryx"	NA	"15"	"skin"	"94-06-??"	"32"	NA	"M"	"+"	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0603"
"1997"	"eland"	"D2301170604"	63	"Taurotragus"	"oryx"	NA	"17"	"skin"	"94-06-??"	"132"	NA	"M"	NA	"Botswana"	"Ghanzi Farms"	"Box1"	"ToryBot_0604"
"2008"	"eland"	"D2301170605"	61.82	"Taurotragus"	"oryx"	NA	"18"	"skin"	"94-06-??"	"126"	NA	"M"	NA	"Botswana"	"Chobe"	"Box1"	"ToryBot_0605"
"2035"	"eland"	"D2301170606"	73.52	"Taurotragus"	"oryx"	NA	"20"	"skin"	"94-06-??"	"92"	NA	"M"	NA	"Botswana"	"Chobe"	"Box1"	"ToryBot_0606"
"2036"	"eland"	"D2301170607"	75.8	"Taurotragus"	"oryx"	NA	"21"	"skin"	"94-06-??"	"93"	NA	"M"	NA	"Botswana"	"Chobe"	"Box1"	"ToryBot_0607"
"2038"	"eland"	"D2301170608"	66.82	"Taurotragus"	"oryx"	NA	"22"	"skin"	"94-06-??"	"77"	NA	"M"	NA	"Botswana"	"Chobe"	"Box1"	"ToryBot_0608"
"2039"	"eland"	"D2301170609"	66.64	"Taurotragus"	"oryx"	NA	"23"	"skin"	"94-06-??"	"78"	NA	"M"	NA	"Botswana"	"Chobe"	"Box1"	"ToryBot_0609"
"2101"	"eland"	"D2301170610"	72.36	"Taurotragus"	"oryx"	NA	"26"	"earnick"	"95-03-29"	"PA26"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0610"
"2102"	"eland"	"D2301170611"	67.64	"Taurotragus"	"oryx"	NA	"27"	"earnick"	"95-03-28"	"PA27"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0611"
"2104"	"eland"	"D2301170612"	62.24	"Taurotragus"	"oryx"	NA	"29"	"earnick"	"95-03-29"	"PA29"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0612"
"2105"	"eland"	"D2301170613"	72.96	"Taurotragus"	"oryx"	NA	"30"	"earnick"	"95-03-28"	"PA30"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0613"
"2106"	"eland"	"D2301170614"	65.9	"Taurotragus"	"oryx"	NA	"31"	"earnick"	"95-03-29"	"PA31"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0614"
"2108"	"eland"	"D2301170615"	65.24	"Taurotragus"	"oryx"	NA	"33"	"earnick"	"95-03-29"	"PA33"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0615"
"2109"	"eland"	"D2301170616"	75.4	"Taurotragus"	"oryx"	NA	"34"	"earnick"	"95-03-29"	"PA34"	"H. Winterbach"	"M"	"+"	"Namibia"	"Waterberg"	"Box1"	"ToryNam_0616"
"2594"	"eland"	"D2301170617"	89.26	"Taurotragus"	"oryx"	NA	"36"	"dried skin"	"95-08-08"	"PA133"	"P. Arctander"	NA	NA	"Zambia"	"Chipata"	"Box1"	"ToryZam_0617"
"2668"	"eland"	"D2301170618"	83.58	"Taurotragus"	"oryx"	NA	"37"	"dried skin"	"95-08-08"	"PA134"	"P. Arctander"	NA	NA	"Zambia"	"Chipata"	"Box1"	"ToryZam_0618"
"2669"	"eland"	"D2301170619"	79.92	"Taurotragus"	"oryx"	NA	"38"	"dried skin"	"95-08-08"	"PA135"	"P. Arctander"	NA	NA	"Zambia"	"Chipata"	"Box1"	"ToryZam_0619"
"2670"	"eland"	"D2301170620"	66.72	"Taurotragus"	"oryx"	NA	"39"	"dried skin"	"95-08-08"	"PA138"	"P. Arctander"	NA	NA	"Zambia"	"Chipata"	"Box1"	"ToryZam_0620"
"2671"	"eland"	"D2301170621"	68.24	"Taurotragus"	"oryx"	NA	"40"	"dried skin"	"95-08-08"	"PA136"	"P. Arctander"	NA	NA	"Zambia"	"Chipata"	"Box1"	"ToryZam_0621"
"2672"	"eland"	"D2301170622"	84.76	"Taurotragus"	"oryx"	NA	"41"	"dried skin"	"95-08-08"	"PA137"	"P. Arctander"	NA	NA	"Zambia"	"Chipata"	"Box1"	"ToryZam_0622"
"4270"	"eland"	"D2301170623"	55.66	"Taurotragus"	"oryx"	NA	NA	"skin"	NA	"JWA8"	"David Moyer"	NA	"+"	"Tanzania"	"Burko"	"Box1"	"ToryTan_0623"
