NA	0.782763	0.784893	0.782200	0.079582	0.003284	-0.002464	-0.002985	0.000481	-0.004040	0.001459	0.001783	-0.000519	-0.001923	0.000723	-0.000516	0.004071	0.002810	-0.133876	-0.208895	-0.166657	-0.219478	-0.214951	-0.201776	-0.217369	-0.202477	-0.248209	-0.209377	-0.241483	-0.220404	-0.135043	-0.108811	-0.115571	-0.002425	
0.782763	NA	0.788478	0.973915	0.071619	0.001125	-0.003104	-0.000696	-0.000816	-0.002579	0.002346	0.001696	-0.000839	-0.002502	0.003594	-0.001573	0.004120	0.002470	-0.145685	-0.224556	-0.180462	-0.237535	-0.228140	-0.218469	-0.237511	-0.219536	-0.265130	-0.224122	-0.257982	-0.234681	-0.148272	-0.119084	-0.129012	-0.002830	
0.784893	0.788478	NA	0.788317	0.083287	0.004750	-0.003518	-0.001612	0.000149	-0.003807	0.001404	0.001764	-0.001984	-0.001594	0.000737	-0.000626	0.003379	0.003267	-0.133902	-0.209662	-0.168777	-0.221870	-0.215602	-0.205396	-0.220667	-0.206104	-0.250307	-0.210179	-0.241467	-0.218993	-0.136796	-0.108063	-0.116744	-0.002664	
0.782200	0.973915	0.788317	NA	0.070974	0.001293	-0.002935	-0.000855	-0.000706	-0.002535	0.002532	0.001820	-0.000941	-0.002653	0.003345	-0.001600	0.004031	0.002453	-0.145848	-0.225157	-0.180983	-0.238113	-0.228922	-0.219019	-0.238004	-0.220003	-0.265697	-0.224828	-0.258418	-0.235193	-0.148813	-0.119608	-0.129578	-0.002816	
0.079582	0.071619	0.083287	0.070974	NA	-0.000262	0.000068	-0.001769	-0.000629	0.002244	-0.000669	-0.000982	-0.001115	-0.004350	0.003585	0.002025	-0.001547	0.001755	-0.003928	-0.030450	-0.015796	-0.059532	-0.035760	-0.022364	-0.043370	-0.034792	-0.067579	-0.035117	-0.063036	-0.039466	0.025219	0.041710	0.042326	0.001029	
0.003284	0.001125	0.004750	0.001293	-0.000262	NA	-0.056900	-0.063253	-0.045435	0.169269	0.165750	0.169990	-0.038042	-0.041528	-0.046198	-0.062504	-0.037215	-0.070455	-0.001499	-0.000809	-0.000025	-0.001056	-0.001525	-0.001168	0.003849	-0.007183	0.001378	-0.000167	-0.002502	0.000407	-0.000571	0.000413	-0.001506	-0.051103	
-0.002464	-0.003104	-0.003518	-0.002935	0.000068	-0.056900	NA	0.083015	0.014906	-0.062554	-0.079379	-0.077316	0.051490	-0.007114	0.071552	0.025214	0.039202	0.048028	-0.002174	0.003546	-0.000683	0.001253	0.005147	0.000381	0.003322	0.004050	-0.000730	0.002071	0.000017	0.002839	-0.000256	-0.003336	0.000360	-0.029400	
-0.002985	-0.000696	-0.001612	-0.000855	-0.001769	-0.063253	0.083015	NA	-0.004479	-0.052855	-0.060279	-0.067426	0.020424	-0.021064	0.080068	0.049274	0.035643	0.020637	0.001087	-0.000539	0.000528	0.000645	-0.000040	0.002315	0.000847	0.002672	0.000421	0.003804	0.000347	-0.000001	-0.000543	0.003556	-0.006231	-0.004545	
0.000481	-0.000816	0.000149	-0.000706	-0.000629	-0.045435	0.014906	-0.004479	NA	-0.035533	-0.068679	-0.067586	0.032969	-0.006028	0.026547	0.031822	0.072086	0.046104	0.000765	0.001012	0.000896	-0.001630	-0.000444	-0.001337	0.000492	-0.000635	0.001806	-0.001332	0.002823	0.001034	-0.000515	-0.000908	-0.000195	-0.000791	
-0.004040	-0.002579	-0.003807	-0.002535	0.002244	0.169269	-0.062554	-0.052855	-0.035533	NA	0.157227	0.182533	-0.032229	-0.046137	-0.038334	-0.076770	-0.046458	-0.076369	0.003103	0.003885	-0.000175	-0.000255	-0.001211	0.000535	0.003016	-0.003138	0.000638	0.000741	-0.003778	0.003546	0.002473	0.000877	0.001121	-0.061479	
