P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
eland	giant_eland	bushbuck	0.00871574	5.024	5.0607e-07	0.00303381	3.68566e+06	553994	544421
greater_kudu	bushbuck	eland	0.0231708	5.00309	5.64176e-07	0.0137392	1.08703e+06	1.50103e+06	1.43305e+06
eland	bushbuck	lesser_kudu	0.0906358	48.0515	2.3e-16	0.0465162	2.1853e+06	1.07778e+06	898641
eland	bushbuck	mountain_nyala	0.0238249	6.19745	5.73843e-10	0.019768	1.05754e+06	1.47752e+06	1.40876e+06
eland	bushbuck	nyala	0.131981	49.7147	2.3e-16	0.0895247	1.89413e+06	1.26711e+06	971635
eland	bushbuck	sitatunga	0.00976273	2.53993	0.0110874	0.00873536	1.02796e+06	1.48917e+06	1.46038e+06
greater_kudu	bushbuck	giant_eland	0.0236452	5.12219	3.02013e-07	0.014149	1.08282e+06	1.5064e+06	1.43681e+06
giant_eland	bushbuck	lesser_kudu	0.0800328	40.2283	2.3e-16	0.0413067	2.18459e+06	1.06748e+06	909279
giant_eland	bushbuck	mountain_nyala	0.0198989	5.15687	2.51115e-07	0.0165539	1.06047e+06	1.47088e+06	1.41349e+06
giant_eland	bushbuck	nyala	0.126226	45.0264	2.3e-16	0.0858094	1.89492e+06	1.25832e+06	976259
giant_eland	bushbuck	sitatunga	0.00357807	0.968989	0.332551	0.0032186	1.02808e+06	1.47971e+06	1.46916e+06
greater_kudu	bushbuck	lesser_kudu	0.171456	53.5981	2.3e-16	0.0960662	2.02662e+06	1.33309e+06	942867
greater_kudu	bushbuck	mountain_nyala	0.143488	25.3009	2.3e-16	0.118123	986000	1.81999e+06	1.36324e+06
nyala	greater_kudu	bushbuck	0.065581	6.94936	3.66953e-12	0.0563154	1.03821e+06	1.73061e+06	1.51759e+06
bushbuck	sitatunga	greater_kudu	0.0910154	31.6497	2.3e-16	0.0526794	1.89967e+06	1.22961e+06	1.02445e+06
mountain_nyala	bushbuck	lesser_kudu	0.0504934	32.9094	2.3e-16	0.0249109	2.5033e+06	975783	881978
bushbuck	nyala	lesser_kudu	0.0876206	52.1977	2.3e-16	0.05761	1.58185e+06	1.31288e+06	1.10134e+06
sitatunga	bushbuck	lesser_kudu	0.0676775	51.6215	2.3e-16	0.0326616	2.54668e+06	977940	853961
mountain_nyala	bushbuck	nyala	0.0786429	36.515	2.3e-16	0.0522841	2.18391e+06	1.1369e+06	971123
mountain_nyala	sitatunga	bushbuck	0.0196685	16.5984	2.3e-16	0.0150686	1.95588e+06	1.06853e+06	1.0273e+06
sitatunga	bushbuck	nyala	0.0928515	44.7197	2.3e-16	0.0604872	2.22678e+06	1.13855e+06	945080
eland	giant_eland	greater_kudu	0.00715994	4.16467	3.11808e-05	0.0022449	3.76151e+06	560255	552289
eland	giant_eland	lesser_kudu	0.0237187	22.3707	2.3e-16	0.00543449	4.85862e+06	451641	430712
eland	giant_eland	mountain_nyala	0.00957073	5.49953	3.80803e-08	0.00326839	3.37831e+06	599657	588288
eland	giant_eland	nyala	0.0140695	8.4395	2.3e-16	0.00406266	4.53354e+06	483217	469808
eland	giant_eland	sitatunga	0.0150702	8.71086	2.3e-16	0.00553456	3.30502e+06	614436	596192
greater_kudu	eland	lesser_kudu	0.10375	28.5837	2.3e-16	0.0519668	2.34154e+06	1.12286e+06	911764
eland	mountain_nyala	greater_kudu	0.0128292	4.22312	2.40946e-05	0.0087968	1.62014e+06	1.23215e+06	1.20093e+06
greater_kudu	eland	nyala	0.082311	22.4134	2.3e-16	0.0527794	2.06361e+06	1.2091e+06	1.02519e+06
sitatunga	eland	greater_kudu	0.0607379	31.8879	2.3e-16	0.0381829	1.73045e+06	1.23006e+06	1.08919e+06
eland	mountain_nyala	lesser_kudu	0.0473085	31.6538	2.3e-16	0.0221577	2.49706e+06	944507	859177
eland	lesser_kudu	nyala	0.00921146	3.82054	0.000133158	0.00803004	1.06115e+06	1.45182e+06	1.42532e+06
eland	sitatunga	lesser_kudu	0.0312747	18.429	2.3e-16	0.0143224	2.57329e+06	909373	854217
eland	mountain_nyala	nyala	0.0647242	33.1925	2.3e-16	0.0392946	2.21073e+06	1.06671e+06	937016
mountain_nyala	sitatunga	eland	0.0388846	18.6522	2.3e-16	0.017927	2.00075e+06	1.0846e+06	1.00341e+06
eland	sitatunga	nyala	0.0519587	26.4615	2.3e-16	0.0309058	2.28548e+06	1.03257e+06	930571
greater_kudu	giant_eland	lesser_kudu	0.113646	29.2786	2.3e-16	0.057119	2.34253e+06	1.13681e+06	904791
giant_eland	mountain_nyala	greater_kudu	0.00956262	3.38589	0.000709469	0.00656664	1.62658e+06	1.22722e+06	1.20398e+06
greater_kudu	giant_eland	nyala	0.0882065	23.9389	2.3e-16	0.0566276	2.06621e+06	1.21714e+06	1.01983e+06
sitatunga	giant_eland	greater_kudu	0.0643027	38.8622	2.3e-16	0.0403421	1.74237e+06	1.23169e+06	1.08286e+06
giant_eland	mountain_nyala	lesser_kudu	0.035704	21.616	2.3e-16	0.0168148	2.498e+06	934078	869677
giant_eland	lesser_kudu	nyala	0.00456928	1.97379	0.0484052	0.0039835	1.06964e+06	1.43938e+06	1.42629e+06
giant_eland	sitatunga	lesser_kudu	0.0194348	10.419	2.3e-16	0.00893661	2.57985e+06	897687	863459
giant_eland	mountain_nyala	nyala	0.0581305	30.2601	2.3e-16	0.0353751	2.21371e+06	1.05831e+06	942029
mountain_nyala	sitatunga	giant_eland	0.0420125	21.022	2.3e-16	0.0195875	1.99003e+06	1.09213e+06	1.00406e+06
giant_eland	sitatunga	nyala	0.0452926	22.4139	2.3e-16	0.0269522	2.29346e+06	1.02231e+06	933719
greater_kudu	mountain_nyala	lesser_kudu	0.14254	44.9176	2.3e-16	0.0729733	2.35256e+06	1.188e+06	891575
greater_kudu	lesser_kudu	nyala	0.0675004	17.4363	2.3e-16	0.0603854	1.06202e+06	1.66378e+06	1.45337e+06
greater_kudu	sitatunga	lesser_kudu	0.124518	39.9679	2.3e-16	0.0655451	2.2249e+06	1.20224e+06	935994
greater_kudu	mountain_nyala	nyala	0.136437	38.779	2.3e-16	0.089999	2.06207e+06	1.30603e+06	992438
sitatunga	mountain_nyala	greater_kudu	0.0887979	46.5505	2.3e-16	0.0466438	2.44032e+06	1.05499e+06	882905
greater_kudu	sitatunga	nyala	0.120816	35.6832	2.3e-16	0.0820532	1.93784e+06	1.3262e+06	1.04029e+06
lesser_kudu	mountain_nyala	nyala	0.0356962	13.9086	2.3e-16	0.0315169	1.08841e+06	1.49694e+06	1.39375e+06
sitatunga	mountain_nyala	lesser_kudu	0.0201719	16.9223	2.3e-16	0.00794915	3.3129e+06	763004	732830
lesser_kudu	sitatunga	nyala	0.0260804	9.66867	2.3e-16	0.0230604	1.07418e+06	1.48519e+06	1.40969e+06
sitatunga	mountain_nyala	nyala	0.0166533	10.5465	2.3e-16	0.00865618	2.98648e+06	845111	817425
