P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
greater_kudu	giant_eland	nyala	0.0882065	23.9389	2.3e-16	0.0566276	2.06621e+06	1.21714e+06	1.01983e+06
greater_kudu	giant_eland	sitatunga	0.233435	70.3276	2.3e-16	0.167491	1.23169e+06	1.74237e+06	1.08286e+06
giant_eland	mountain_nyala	lesser_kudu	0.035704	21.616	2.3e-16	0.0168148	2.498e+06	934078	869677
lesser_kudu	nyala	giant_eland	0.142891	72.9395	2.3e-16	0.0582341	1.43938e+06	1.42629e+06	1.06964e+06
giant_eland	sitatunga	lesser_kudu	0.0194348	10.419	2.3e-16	0.00893661	2.57985e+06	897687	863459
giant_eland	mountain_nyala	nyala	0.0581305	30.2601	2.3e-16	0.0353751	2.21371e+06	1.05831e+06	942029
mountain_nyala	sitatunga	giant_eland	0.0420125	21.022	2.3e-16	0.0195875	1.99003e+06	1.09213e+06	1.00406e+06
giant_eland	sitatunga	nyala	0.0452926	22.4139	2.3e-16	0.0269522	2.29346e+06	1.02231e+06	933719
greater_kudu	mountain_nyala	lesser_kudu	0.14254	44.9176	2.3e-16	0.0729733	2.35256e+06	1.188e+06	891575
lesser_kudu	nyala	greater_kudu	0.155583	79.4286	2.3e-16	0.0786141	1.66378e+06	1.45337e+06	1.06202e+06
greater_kudu	sitatunga	lesser_kudu	0.124518	39.9679	2.3e-16	0.0655451	2.2249e+06	1.20224e+06	935994
greater_kudu	mountain_nyala	nyala	0.136437	38.779	2.3e-16	0.089999	2.06207e+06	1.30603e+06	992438
sitatunga	mountain_nyala	greater_kudu	0.0887979	46.5505	2.3e-16	0.0466438	2.44032e+06	1.05499e+06	882905
greater_kudu	sitatunga	nyala	0.120816	35.6832	2.3e-16	0.0820532	1.93784e+06	1.3262e+06	1.04029e+06
lesser_kudu	nyala	mountain_nyala	0.158016	79.0141	2.3e-16	0.0811977	1.39375e+06	1.49694e+06	1.08841e+06
sitatunga	mountain_nyala	lesser_kudu	0.0201719	16.9223	2.3e-16	0.00794915	3.3129e+06	763004	732830
lesser_kudu	nyala	sitatunga	0.160592	83.4275	2.3e-16	0.0828599	1.40969e+06	1.48519e+06	1.07418e+06
sitatunga	mountain_nyala	nyala	0.0166533	10.5465	2.3e-16	0.00865618	2.98648e+06	845111	817425
