A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TstrZim_0823	TstrZam_0842	8832105	669759	108672	634768	546364	281010	115304	301388	4599798	0.310562589754438	0.252451173167398	0.0895397760779178
TstrZim_0823	TstrTan_0844	8795626	694459	126557	593231	501980	291931	149521	314376	4546769	0.344679723291543	0.276971719020255	0.0920460271817015
TstrZim_0823	TstrTan_0845	8871163	697794	126924	567310	499688	243636	152458	322379	4627417	0.346963038227243	0.277065121848775	0.0896893797409349
TstrZim_0823	TstrTan_0846	9006125	733269	139465	511547	452799	229015	185432	351777	4694271	0.378183396563282	0.300579571191071	0.0898017321221563
TstrZim_0823	TstrTan_0847	8801845	711138	133520	546131	465306	267394	172109	332566	4553985	0.366499045206439	0.292829265347723	0.0917728385033178
TstrZim_0823	TstrTan_0771	9196478	720295	129461	569947	512841	215858	162056	341551	4852875	0.349231046937131	0.277696518626696	0.0881223339749177
TstrZim_0823	TstrTan_0848	9140059	737694	141204	523185	468601	226445	186790	355582	4780317	0.375431017294609	0.297819802556114	0.0895989444849137
TstrZim_0823	TstrTan_0849	8813279	707014	130447	533569	470384	231914	166407	331544	4592636	0.361998670679963	0.288341457046603	0.0897570937675289
TstrZim_0823	TstrTan_0850	8591083	674463	119734	554975	486000	239328	143120	312334	4473227	0.34281196559162	0.274532264222986	0.089546002299307
TstrZim_0823	TstrZam_0851	8952189	677199	109292	659573	561339	302441	116052	303046	4665691	0.30836373549029	0.251251461799726	0.0903627016921087
TstrZim_0823	TstrTan_0818	8903315	722007	136970	521509	458520	246692	182449	342728	4628183	0.374357203293139	0.297814972630504	0.0907640407020703
TstrZim_0824	TstrZim_0825	9798350	723584	124837	712255	607721	291372	124809	334317	5219154	0.31051967872069	0.251550101436788	0.0883271218487055
TstrZim_0824	TstrZim_0826	8947270	666503	113259	725285	572320	373932	107979	292280	4634625	0.30516268137119	0.25125375905616	0.0934920981001376
TstrZim_0824	TstrZim_0827	9638127	701866	119303	704092	609331	309192	115944	323887	5098294	0.303656483251477	0.246848371459667	0.0885032811510714
TstrZim_0824	TstrZim_0828	9793358	713458	120209	726188	621803	315378	117003	331105	5200892	0.302459142429906	0.24627680910226	0.0886974219976438
TstrZim_0824	TstrZim_0829	8813920	656576	112420	682711	558017	324307	107473	286627	4578332	0.306596554166452	0.250706802569232	0.0914377778741361
TstrZim_0824	TstrZim_0830	9578576	707135	122436	742388	607576	381544	119675	316605	5012995	0.307947699263563	0.252047330110719	0.0920883191871251
TstrZim_0824	TstrBot_0749	9982359	746722	135332	729648	608962	280209	138115	348624	5350926	0.320644612685634	0.25846528933476	0.0889983443496244
TstrZim_0824	TstrBot_0750	9941636	752139	138567	725125	598897	291514	146905	346324	5315540	0.327660378480438	0.263671049550626	0.0899656711333686
TstrZim_0824	TstrBot_0751	9929677	749878	138539	728273	599405	285043	143781	346102	5313598	0.326252901851656	0.262658470134446	0.0897578113243308
TstrZim_0824	TstrBot_0752	10002061	753678	138742	731864	602776	292274	145288	352420	5352505	0.326322277530855	0.26290099154514	0.0898416730859923
TstrZim_0824	TstrBot_0753	9991306	750263	136503	728452	608379	280197	143497	348223	5359233	0.323486736229286	0.260250939682917	0.0892702642906352
TstrZim_0824	TstrBot_0754	9503844	722140	133403	689687	571787	277077	140039	328142	5049734	0.328038850444731	0.263844319640845	0.0900247894834666
TstrZim_0824	TstrBot_0755	9953432	749080	137134	776146	618295	300250	133347	339228	5337608	0.317823123275714	0.257395059625957	0.0905982004435112
TstrZim_0824	TstrBot_0756	9338351	706634	128715	722845	577757	338440	128468	311666	4898869	0.320009071873367	0.26000543256048	0.0924602132319481
TstrZim_0824	TstrBot_0757	7426318	741318	135611	3381590	846979	3695362	42920	113148	1928212	0.297581289201415	0.283580560954232	0.249446521407525
TstrZim_0824	TstrBot_0758	9883583	727856	127463	723821	616400	281617	126903	339337	5289323	0.310886808476217	0.251334201038234	0.0882565002362789
TstrZim_0824	TstrBot_0759	10033301	747413	135451	741663	624050	280471	139079	345107	5391200	0.318127456836926	0.256003350552928	0.0891585653009982
TstrZim_0824	TstrBot_0760	10035735	750155	135851	729551	612065	275242	139682	352366	5391602	0.320898939848655	0.258421393794987	0.0887634566224786
TstrZim_0824	TstrBot_0761	9748413	732006	132142	737538	599805	298471	131156	332078	5198459	0.318206697424511	0.257625212777015	0.0900748673874382
TstrZim_0824	TstrBot_0762	9784252	734505	132705	739350	601636	295719	132558	334765	5225490	0.318685827688606	0.257860191610366	0.0899979033400849
TstrZim_0824	TstrTan_0831	9848265	762565	146268	632917	542414	272467	170340	363731	5227326	0.35220730144576	0.281256940355665	0.0892590920119136
TstrZim_0824	TstrTan_0832	9750797	759290	147761	618243	525275	279831	173762	363655	5150956	0.35795096582156	0.285968153941947	0.0897416200842226
TstrZim_0824	TstrTan_0833	9636323	774776	161513	554793	475657	267350	207336	375155	5069385	0.388174926098389	0.308052555463245	0.0908964913714465
TstrZim_0824	TstrTan_0834	9736981	782449	164473	547922	476651	256873	212010	382477	5129652	0.390910869686166	0.309676905119108	0.0904304861734834
TstrZim_0824	TstrTan_0835	9947447	793537	163869	561514	495091	239201	212480	392103	5284962	0.386434864990551	0.30563318922456	0.0893893733868341
TstrZim_0824	TstrTan_0836	9736660	776004	157672	585073	495840	279449	197249	374277	5129413	0.377633493091879	0.300548862283306	0.0908118353652288
TstrZim_0824	TstrTan_0837	9273451	741742	154463	585170	477445	306283	189122	348309	4823873	0.377774330850168	0.301490722324867	0.0930812258895903
TstrZim_0824	TstrTan_0838	9354444	742582	149556	576378	482568	271701	181597	353690	4906634	0.372121486780665	0.296734095411577	0.0907573233680883
TstrZim_0824	TstrTan_0839	9804864	757488	145639	635714	541047	276489	168212	357944	5195160	0.351406881442697	0.280787881121685	0.0893715591120442
TstrZim_0824	TstrKen_0763	8966875	1247395	923245	816037	186370	104639	1112841	278193	4765358	0.719703150247748	0.597462259462979	0.182186379151123
TstrZim_0824	TstrTan_0768	10017679	795843	162490	573002	506242	225151	210384	392601	5349652	0.382635904691357	0.302307197778238	0.0888109248241818
TstrZim_0824	TstrTan_0769	9788854	791327	166498	530332	465550	228236	222749	393270	5178291	0.398791649161801	0.315152719491306	0.089704188103117
TstrZim_0824	TstrTan_0770	10044953	804810	168213	534320	482923	208975	224945	406257	5360262	0.396077450859044	0.312190588775915	0.0883872959231852
TstrZim_0824	TstrNA-_0840	9633608	733000	134798	781158	592250	445399	136555	325660	5001450	0.323676122036322	0.265393173739157	0.0961593697392661
TstrZim_0824	TstrRSA_0841	9545219	739855	145253	786131	579255	322906	136354	316547	5067559	0.330100474378368	0.267764178117114	0.093766460255663
TstrZim_0824	TstrZam_0842	9583197	717764	126751	693265	581764	313216	129173	327246	5052542	0.318513256958516	0.258147037618645	0.0897323171497864
TstrZim_0824	TstrTan_0844	9561700	741344	145048	646777	535195	326727	164066	344136	5003604	0.350565064347907	0.281419638550662	0.0919480539851025
