A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TstrZim_0822	TstrTan_0844	1448365966	733427	140342	644107	536092	328673	157393	341054	5015236	0.345786160475119	0.278178937956772	0.00109143216226522
TstrZim_0822	TstrTan_0845	1448322698	740095	142332	620241	529100	278320	162851	351095	5105808	0.350646716628047	0.280473488161498	0.00107440739639843
TstrZim_0822	TstrTan_0846	1448287181	772890	158149	554109	489628	254834	199787	376991	5178387	0.380998911615878	0.302049467144244	0.00108644679551873
TstrZim_0822	TstrTan_0847	1448407732	749359	152402	592655	501031	297611	185140	356952	5023695	0.369906481099752	0.294889982305463	0.00108932390886013
TstrZim_0822	TstrTan_0771	1448042252	767677	148605	628116	550116	244366	174507	373779	5376508	0.353291729459775	0.280916534299263	0.001102199044406
TstrZim_0822	TstrTan_0848	1448184575	781800	160381	570664	500808	257835	202039	383598	5260205	0.379723325293895	0.301042598182905	0.00110538377686185
TstrZim_0822	TstrTan_0849	1448402970	744655	149402	577959	508135	257881	180640	353690	5064345	0.365985216625559	0.29050751669515	0.0010652106411464
TstrZim_0822	TstrTan_0850	1448613783	706681	136556	597136	512639	262775	155394	329866	4867958	0.349206163587869	0.278863344473458	0.00102768588691765
TstrZim_0822	TstrZam_0851	1448193062	717899	127775	717584	598505	338119	128807	325045	5132290	0.315611090413945	0.256160281641249	0.00110223240547176
TstrZim_0822	TstrTan_0818	1448351434	762975	157815	567617	489797	273282	198058	366663	5105845	0.379979697863862	0.301630171361693	0.00108910861541292
TstrZim_0823	TstrZim_0824	1448718353	680287	109886	665287	563894	298875	114835	305573	4700326	0.307585066221046	0.250768417525458	0.0010175267354149
TstrZim_0823	TstrZim_0825	1448718907	672144	106421	646522	569649	261380	112652	305491	4731594	0.303033088955341	0.24593815832099	0.000993504155509312
TstrZim_0823	TstrZim_0826	1449162166	630691	103413	672481	540103	338467	101470	272562	4273723	0.302994922144594	0.249292609608375	0.000983476301515905
TstrZim_0823	TstrZim_0827	1448829206	667778	109309	654016	559437	276937	112923	295918	4625523	0.306889536722384	0.249336090354983	0.000995291600289599
TstrZim_0823	TstrZim_0828	1448722477	674460	108543	670075	571846	281556	111636	301107	4710035	0.303511394494526	0.247115812127214	0.00100930484418233
TstrZim_0823	TstrZim_0829	1449332277	621040	101724	633251	518390	292909	100480	266785	4176660	0.305567887552649	0.250167384800395	0.000939801238742648
TstrZim_0823	TstrZim_0830	1448830329	665979	109058	685950	564703	342279	109894	292212	4557498	0.305052335314022	0.250122349274538	0.00102634027391351
TstrZim_0823	TstrBot_0749	1448615982	699520	118937	668844	563953	249812	128036	315154	4842120	0.317730605045618	0.256328855616969	0.00102706501729205
TstrZim_0823	TstrBot_0750	1448654708	702204	121960	663559	553889	258882	133379	315154	4804388	0.323744843337995	0.26093195883489	0.00103157163888448
TstrZim_0823	TstrBot_0751	1448663817	704311	121158	668850	548242	256885	131624	316304	4801773	0.32384982647569	0.261638204336213	0.00103012267922647
TstrZim_0823	TstrBot_0752	1448600465	706042	122456	673078	558060	259967	133583	319958	4848571	0.32321355296131	0.260727174643654	0.00104008270221512
