A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TspeTan_0876	TspeDRC_1022	7865742	948457	681826	1754402	455945	649848	455664	333676	4227871	0.522305095324499	0.419389961295383	0.184687411484813
TspeTan_0876	TspeDRC_1023	8178868	985794	718256	1702312	457853	630966	514737	354203	4406022	0.536263786457735	0.42966971351566	0.183773746642642
TspeTan_0876	TspeDRC_1024	8319651	858655	727601	1706150	682130	628106	519766	286631	4493063	0.5148731412517	0.40299906631597	0.182649989822604
TspeTan_0876	TspeDRC_1025	9456873	625589	254697	763257	803075	430126	242614	378055	5109726	0.365299997363189	0.275049491343078	0.11057133930159
TspeTan_0877	TspeTan_0878	9549680	475798	92607	461297	915650	337053	92019	376913	5086798	0.209263195755532	0.156201512210245	0.0844258752465448
TspeTan_0877	TspeTan_0879	9105848	532766	156646	619696	827695	402534	147803	364794	4812249	0.289874447185159	0.219035099273663	0.098891481105721
TspeTan_0877	TspeTan_0881	9392613	597121	204799	507390	743155	342239	216765	429971	4980622	0.352579244301576	0.262842381678854	0.099427752743017
TspeTan_0877	TspeTan_0883	8959779	529076	165913	609772	804600	402825	161061	359384	4711430	0.303438549075462	0.228336275223285	0.100563852383644
TspeTan_0877	TspeTan_0884	9019716	558818	181696	601750	775346	391974	181603	378566	4764135	0.323866926571459	0.243847957799862	0.101849194985239
TspeTan_0877	TspeTan_0885	9102299	536702	174210	615964	823380	420889	168289	366725	4786775	0.306582444533497	0.23012311990468	0.101459568103597
TspeTan_0877	TspeTan_0886	8751603	541644	179750	563574	750537	376149	178754	369022	4601082	0.326596410095359	0.245020606445611	0.101701526748677
TspeTan_0877	TspeGha_0888	8537154	1087112	935599	437874	203344	171404	1102455	474036	4403171	0.73362658952619	0.610574673876383	0.185852426693662
TspeTan_0877	TspeCam_1011	7956176	830731	704462	1599629	636325	583193	516348	300845	4225113	0.521610151395193	0.408679786051834	0.184187419199021
TspeTan_0877	TspeCon_1012	8226431	1008222	777817	1277570	371290	463349	702010	409106	4351305	0.599248761003747	0.480861975026504	0.184487237804982
TspeTan_0877	TspeCam_1013	7991854	980318	750043	1366399	381102	502288	639706	388997	4217562	0.583220834801102	0.467581899488765	0.185808515362375
TspeTan_0877	TspeCam_1014	7956836	830152	705991	1617997	638613	589831	513962	297820	4222846	0.52054915468553	0.407944941371735	0.184594833627719
TspeTan_0877	TspeCam_1015	7655212	801050	677392	1642150	628143	600340	474826	280852	4056900	0.511938710706293	0.401776083322086	0.186032622608316
TspeTan_0877	TspeCam_1016	7659382	805856	682631	1680431	627308	603847	491030	287059	4087302	0.513860404065625	0.40367399346203	0.187647881700076
TspeTan_0877	TspeCam_1017	6066524	643225	540139	1351644	507687	485824	368148	217940	3169679	0.507056157930733	0.398240301767176	0.188111957252032
TspeTan_0877	TspeCam_1018	8055785	973667	714519	1636119	444078	590671	530112	374262	4297024	0.542836043742074	0.434731509578928	0.184717627266254
TspeTan_0877	TspeCam_1019	7995699	836463	718955	1553873	629105	562087	551094	305741	4251309	0.531547521714568	0.416185699621392	0.184648546573995
TspeTan_0877	TspeCam_1020	7968870	961889	703653	1655850	449043	596180	512543	367163	4253479	0.537933594604084	0.430817900772751	0.184974500062111
TspeTan_0877	TspeCam_1021	8087151	841387	717976	1625522	651693	586237	534331	305052	4314063	0.522953368419141	0.409424984261963	0.184406755614374
TspeTan_0877	TspeDRC_1022	7616918	919733	659417	1703004	443667	622780	446482	342753	4042710	0.522123216312031	0.419262117358359	0.185853501457125
TspeTan_0877	TspeDRC_1023	7916503	957568	692635	1654643	438775	606823	501652	366306	4209618	0.536035507101623	0.429852280449072	0.18486207432744
TspeTan_0877	TspeDRC_1024	8051225	831922	702909	1657303	659636	601771	506607	299518	4292118	0.514643840081585	0.403031041641554	0.183752164189656
TspeTan_0877	TspeDRC_1025	9162649	604412	245932	740544	779899	412355	235517	388779	4888913	0.364704605713666	0.274941466286401	0.111371985795292
TspeTan_0878	TspeTan_0879	9521066	546938	174621	654084	853600	434264	162582	357161	5101716	0.299399442817918	0.225184533626535	0.0988556293732371
TspeTan_0878	TspeTan_0881	9852071	610382	216134	533048	774117	370994	225352	422783	5305406	0.353523657113011	0.262997981694636	0.09814963577578
TspeTan_0878	TspeTan_0883	9375058	531559	176044	634845	839505	428873	166047	348408	4997453	0.303469601761795	0.227227887668341	0.0990802725280995
TspeTan_0878	TspeTan_0884	9450344	561655	187646	624565	807346	421490	181889	372390	5062300	0.320426165654714	0.240879815241207	0.0997903464278387
TspeTan_0878	TspeTan_0885	9532621	537189	175501	637338	860961	453357	165321	357597	5083426	0.299449616590979	0.224538036384812	0.0990851083823678
TspeTan_0878	TspeTan_0886	9144948	550650	189469	590865	772933	405374	184377	362888	4872544	0.328427980160926	0.246288306185131	0.100456611109445
TspeTan_0878	TspeGha_0888	8960800	1116512	1002840	458186	214333	185298	1154441	472105	4689930	0.737635598857525	0.614692771670995	0.185187662511788
TspeTan_0878	TspeCam_1011	8364314	848960	755614	1673432	671550	622951	542362	291635	4509987	0.524688168707093	0.410576841029496	0.183374856851216
TspeTan_0878	TspeCon_1012	8657099	1036124	835785	1336064	392490	495322	738420	404451	4652558	0.603011519927776	0.483717324952558	0.183651769301068
TspeTan_0878	TspeCam_1013	8393843	1009191	799688	1430454	393265	539374	668288	385276	4496328	0.586582250593311	0.470443478589246	0.18474332798604
TspeTan_0878	TspeCam_1014	8366040	851536	754223	1693372	663856	634602	538302	291231	4506002	0.523937988607636	0.41055891747658	0.183605300220272
TspeTan_0878	TspeCam_1015	8033437	819471	723527	1717860	651209	642251	496137	273437	4317161	0.51550940599678	0.404516219838169	0.185113007504035
TspeTan_0878	TspeCam_1016	8040959	826434	728940	1759672	650254	647788	514504	279537	4353594	0.51744117887787	0.406470112574221	0.186796197123395
TspeTan_0878	TspeCam_1017	6340723	652973	572595	1406209	525383	515106	382682	209144	3355412	0.510260339899325	0.400544828770111	0.186937110693114
TspeTan_0878	TspeCam_1018	8481718	1006385	763178	1718104	458421	638147	553782	373713	4596207	0.545721458532554	0.437177196028591	0.183669089071314
TspeTan_0878	TspeCam_1019	8409726	856692	768482	1625802	658034	602161	576591	298094	4541403	0.534604410971106	0.418375710998091	0.183534234226619
TspeTan_0878	TspeCam_1020	8381005	992006	751749	1736795	465436	642123	536207	364667	4542706	0.540946829633064	0.433232835056452	0.184028991086258
TspeTan_0878	TspeCam_1021	8513957	866399	771537	1707117	681279	629777	562542	298513	4617092	0.526668469745806	0.412214439640849	0.183697038424003
