A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TspeCam_1016	TspeDRC_1023	1448232365	1637533	304164	1434384	860500	496486	307722	585403	4412267	0.372156402447463	0.303874213085275	0.00213886127917211
TspeCam_1016	TspeDRC_1024	1447983058	1498905	306332	1412622	1109594	483273	305580	516750	4494346	0.345527684582745	0.274433155525763	0.00214145915941101
TspeCam_1016	TspeDRC_1025	1448490382	1746722	497150	976146	720686	297547	682411	631923	4446483	0.495583330090187	0.388427792340565	0.00230791727701561
TspeCam_1017	TspeCam_1018	1449422907	1197343	162414	984695	815462	355865	177144	478039	3514748	0.313181037515261	0.257267108483207	0.00154776382054709
TspeCam_1017	TspeCam_1019	1449339548	1096133	162565	926552	958043	341291	193104	430057	3518082	0.296484858152676	0.235571016863673	0.00153175019687753
TspeCam_1017	TspeCam_1020	1449409855	1181753	154403	995081	830284	362540	163102	475084	3509258	0.304273093689115	0.25120157453414	0.00153723468125349
TspeCam_1017	TspeCam_1021	1449319936	1096299	171596	976484	980184	349449	189483	418771	3518681	0.295471948531313	0.234646002908471	0.00155912144191279
TspeCam_1017	TspeDRC_1022	1449720558	1277110	215891	1183955	707416	388629	211251	445361	3325057	0.353493296106831	0.291151469289379	0.00166615353273092
TspeCam_1017	TspeDRC_1023	1449652734	1311996	227486	1131337	694100	371710	245015	466079	3402398	0.367329346522977	0.300117985465072	0.00168789514995495
TspeCam_1017	TspeDRC_1024	1449503044	1206198	230731	1119635	869877	363727	245060	413683	3436690	0.344393901059056	0.274279780677414	0.00168956373335817
TspeCam_1017	TspeDRC_1025	1449861802	1398081	367675	768885	573307	224343	534970	507311	3420258	0.488968775271764	0.383523081419927	0.00181017150546604
TspeCam_1018	TspeCam_1019	1447679124	1295148	234880	1364845	1023522	562542	248271	520946	4800887	0.326679812080467	0.26471680640225	0.00196651792549
TspeCam_1018	TspeCam_1020	1447264263	1045504	109534	1081705	1336668	493576	107606	471898	5020616	0.209641383841277	0.172706313933102	0.00166913524554008
TspeCam_1018	TspeCam_1021	1447534987	1306925	233702	1434373	1066507	585640	235544	516534	4883353	0.318740915360613	0.259312633325433	0.00200592700262879
TspeCam_1018	TspeDRC_1022	1448193129	1371621	306305	1532517	894854	539769	273767	456530	4502739	0.363030576271926	0.294293241219244	0.00204223047316952
TspeCam_1018	TspeDRC_1023	1447975909	1439589	328511	1490504	884737	526684	318885	497511	4702180	0.377901014436307	0.304493524406287	0.00210326645516835
TspeCam_1018	TspeDRC_1024	1447842823	1459603	335186	1632982	909030	597388	324131	504363	4733417	0.375854251012146	0.304444821969211	0.00220182013204073
TspeCam_1018	TspeDRC_1025	1448392100	1699187	535678	1165219	514831	395393	711076	621804	4662893	0.52478893629777	0.419800179142239	0.00236167498175553
TspeCam_1019	TspeCam_1020	1447712194	1350103	241601	1316576	1030625	530252	225305	551003	4762947	0.322034697442912	0.261688080402151	0.00195935043261644
TspeCam_1019	TspeCam_1021	1447517480	1232480	255616	1290118	1243478	511537	242488	486570	4827956	0.304716062966328	0.23890366805662	0.00197597436851671
TspeCam_1019	TspeDRC_1022	1448278284	1445834	334475	1541679	853811	547787	285765	507004	4400135	0.375340233468234	0.305105635877314	0.00210417535072033
TspeCam_1019	TspeDRC_1023	1448083683	1513741	353147	1495622	836614	538054	330528	550063	4578607	0.389483003155044	0.315183898329272	0.00216057401358185
TspeCam_1019	TspeDRC_1024	1447813932	1379286	357475	1486298	1086495	527147	328767	481942	4677505	0.363435923960879	0.286084181362194	0.00217182746795031
TspeCam_1019	TspeDRC_1025	1448337089	1613096	556934	1015576	714676	323190	717407	588790	4623276	0.513031873850861	0.400807534772877	0.00233255279137547
TspeCam_1020	TspeCam_1021	1447629627	1354312	234920	1439712	1045299	574419	244167	522549	4815127	0.323479456292188	0.26362911939542	0.00202161540418611
TspeCam_1020	TspeDRC_1022	1448212434	1391452	294116	1514084	906143	531000	268851	463078	4474366	0.35803578889505	0.290719110661428	0.00203411012213277
TspeCam_1020	TspeDRC_1023	1448007840	1457966	314139	1468629	897178	516062	312334	502521	4663420	0.3722450503683	0.300333581466892	0.00209009478786781
TspeCam_1020	TspeDRC_1024	1447895010	1482743	321353	1613858	913783	585295	318381	509094	4683839	0.371519548421392	0.301529153560668	0.00218889760413328
TspeCam_1020	TspeDRC_1025	1448425269	1722360	516283	1150703	521035	388691	699472	628198	4623828	0.519471522359942	0.415645027501409	0.00234544811707134
TspeCam_1021	TspeDRC_1022	1448181887	1502372	312195	1540647	890327	544242	278522	524534	4446031	0.364718402593373	0.297619807519342	0.00212024001520916
TspeCam_1021	TspeDRC_1023	1447950997	1571394	330304	1493166	888057	530482	322064	565446	4652039	0.377056568619164	0.305771783104449	0.0021783116627904
TspeCam_1021	TspeDRC_1024	1447651692	1435019	335653	1481452	1150002	520989	322868	496019	4768319	0.35073191154327	0.276270657284109	0.00219472285758963
TspeCam_1021	TspeDRC_1025	1448220833	1688253	538420	1022096	740738	321195	716171	612456	4691799	0.504348179265208	0.394079685721475	0.00236327542121758
TspeDRC_1022	TspeDRC_1023	1448255767	1493720	263307	1383790	911028	467570	285481	523167	4429489	0.354495233359952	0.288008543943018	0.00201536259079949
TspeDRC_1022	TspeDRC_1024	1448103326	1466964	243742	1473115	970220	530309	264230	527782	4455384	0.338427077543912	0.277061426302108	0.00205219137554463
TspeDRC_1022	TspeDRC_1025	1448674837	1768691	446833	1094476	521459	357103	654820	650542	4383080	0.503330792741863	0.403737656363648	0.00226100191114153
TspeDRC_1023	TspeDRC_1024	1447960933	1472593	312626	1593905	910490	576423	310246	515712	4623463	0.368726425011538	0.299646491842198	0.00216518179920256
TspeDRC_1023	TspeDRC_1025	1448487047	1715122	507983	1139449	519550	381274	690733	633530	4565620	0.517809530700099	0.414365263146529	0.00232626130060297
TspeDRC_1024	TspeDRC_1025	1448235139	1721212	510547	1013240	748232	313297	699227	629102	4661251	0.496119415836052	0.38793891900599	0.00234641219174374
