A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TbuxEth_0863	TbuxEth_0864	1447742730	772945	132413	783864	808481	424263	133444	430265	5181282	0.284150403977184	0.229551617214265	0.00128793842607832
TbuxEth_0863	TbuxEth_0865	1447746335	756862	126033	888900	814967	443542	126242	432717	5149460	0.279463069218631	0.228819398299874	0.00131877013735901
TbuxEth_0863	TbuxEth_0866	1447983300	772303	126151	721758	736118	384561	132862	443314	5039728	0.292675779065345	0.237444404951724	0.00122776266762057
TbuxEth_0864	TbuxEth_0865	1447452134	801290	135870	923956	847118	460267	135937	443970	5383532	0.283003686784579	0.231012383568349	0.00138001474537611
TbuxEth_0864	TbuxEth_0866	1447529187	703800	66082	644462	871532	397502	69034	456448	5332352	0.213456077435962	0.180336942091584	0.00114828788577001
TbuxEth_0865	TbuxEth_0866	1447743747	932828	145592	747691	759811	399463	152334	470350	5213650	0.305349170527185	0.247990360864311	0.00134082370177517
