ToryKen_0587	Tory	
ToryRSA_0588	Tory	
ToryNam_0589	Tory	
ToryNam_0590	Tory	
ToryNam_0591	Tory	
ToryNam_0592	Tory	
ToryNam_0593	Tory	
ToryNam_0594	Tory	
ToryNam_0595	Tory	
ToryNam_0596	Tory	
ToryNam_0597	Tory	
ToryNam_0598	Tory	
ToryNam_0599	Tory	
ToryZim_0727	Tory	
ToryZim_0728	Tory	
ToryZim_0729	Tory	
ToryZim_0730	Tory	
ToryZim_0731	Tory	
ToryZim_0732	Tory	
ToryZim_0733	Tory	
ToryZim_0734	Tory	
ToryZim_0735	Tory	
ToryZim_0736	Tory	
ToryZim_0737	Tory	
ToryZim_0738	Tory	
ToryZim_0739	Tory	
ToryZim_0740	Tory	
ToryZim_0741	Tory	
ToryBot_0600	Tory	
ToryBot_0601	Tory	
ToryBot_0602	Tory	
ToryBot_0603	Tory	
ToryBot_0604	Tory	
ToryBot_0605	Tory	
ToryBot_0606	Tory	
ToryBot_0607	Tory	
ToryBot_0608	Tory	
ToryBot_0609	Tory	
ToryNam_0610	Tory	
ToryNam_0611	Tory	
ToryNam_0612	Tory	
ToryNam_0613	Tory	
ToryNam_0614	Tory	
ToryNam_0615	Tory	
ToryNam_0616	Tory	
ToryZam_0617	Tory	
ToryZam_0618	Tory	
TstrZam_0619	Tstr	
ToryZam_0620	Tory	
ToryZam_0621	Tory	
ToryZam_0622	Tory	
ToryTan_0623	Tory	
ToryTan_0624	Tory	
ToryTan_0625	Tory	
ToryTan_0626	Tory	
ToryTan_0627	Tory	
ToryTan_0628	Tory	
ToryTan_0629	Tory	
ToryZam_0630	Tory	
ToryTan_0631	Tory	
ToryTan_0632	Tory	
ToryTan_0633	Tory	
ToryTan_0634	Tory	
ToryTan_0635	Tory	
ToryTan_0636	Tory	
ToryTan_0637	Tory	
ToryTan_0638	Tory	
ToryTan_0639	Tory	
ToryTan_0640	Tory	
ToryTan_0641	Tory	
ToryTan_0642	Tory	
ToryTan_0643	Tory	
ToryTan_0644	Tory	
ToryTan_0645	Tory	
ToryTan_0646	Tory	
ToryTan_0647	Tory	
ToryTan_0649	Tory	
ToryTan_0650	Tory	
ToryKen_0651	Tory	
ToryEth_0652	Tory	
ToryEth_0653	Tory	
ToryEth_0654	Tory	
ToryEth_0655	Tory	
ToryTan_0656	Tory	
ToryTan_0657	Tory	
ToryTan_0658	Tory	
TstrNam_0742	Tstr	
TstrNam_0743	Tstr	
TstrNam_0744	Tstr	
TstrNam_0745	Tstr	
TstrNam_0746	Tstr	
TstrNam_0747	Tstr	
TstrNam_0748	Tstr	
TstrNam_0821	Tstr	
TstrZim_0822	Tstr	
TstrZim_0823	Tstr	
TstrZim_0824	Tstr	
TstrZim_0825	Tstr	
TstrZim_0826	Tstr	
TstrZim_0827	Tstr	
TstrZim_0828	Tstr	
TstrZim_0829	Tstr	
TstrZim_0830	Tstr	
TstrBot_0749	Tstr	
TstrBot_0750	Tstr	
TstrBot_0751	Tstr	
TstrBot_0752	Tstr	
TstrBot_0753	Tstr	
TstrBot_0754	Tstr	
TstrBot_0755	Tstr	
TstrBot_0756	Tstr	
TstrBot_0758	Tstr	
TstrBot_0759	Tstr	
TstrBot_0760	Tstr	
TstrBot_0761	Tstr	
TstrBot_0762	Tstr	
TstrTan_0831	Tstr	
TstrTan_0832	Tstr	
TstrTan_0833	Tstr	
TstrTan_0834	Tstr	
TstrTan_0835	Tstr	
TstrTan_0836	Tstr	
TstrTan_0837	Tstr	
TstrTan_0838	Tstr	
TstrTan_0839	Tstr	
TstrKen_0763	Tstr	
TstrTan_0768	Tstr	
TstrTan_0769	Tstr	
TstrTan_0770	Tstr	
TstrNA-_0840	Tstr	
TstrRSA_0841	Tstr	
TstrZam_0842	Tstr	
TstrTan_0844	Tstr	
TstrTan_0845	Tstr	
TstrTan_0846	Tstr	
TstrTan_0847	Tstr	
TstrTan_0771	Tstr	
TstrTan_0848	Tstr	
TstrTan_0849	Tstr	
TstrTan_0850	Tstr	
TstrZam_0851	Tstr	
TstrTan_0818	Tstr	
