P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TstrBot	TbuxEth	ScafKen	0.0683731	32.9621	2.3e-16	1.01613e+06	492568	429522
TstrNA-	TbuxEth	ScafKen	0.0828311	40.2655	2.3e-16	998983	498725	422425
TstrNam	TbuxEth	ScafKen	0.0700211	34.1199	2.3e-16	1.01533e+06	493849	429215
TstrRSA	TbuxEth	ScafKen	0.0680136	32.4629	2.3e-16	1.00559e+06	487492	425402
TstrTan	TbuxEth	ScafKen	0.0683228	33.2339	2.3e-16	1.01568e+06	492234	429274
TstrZam	TbuxEth	ScafKen	0.0682477	32.788	2.3e-16	1.01572e+06	492125	429244
TstrZim	TbuxEth	ScafKen	0.0689103	32.9291	2.3e-16	1.01541e+06	492551	429043
TderCha	TderCam	ScafKen	0.0225234	8.24854	2.3e-16	2.23342e+06	27195.9	25997.8
TderCam	TderSSu	ScafKen	0.0209493	9.41704	2.3e-16	2.24083e+06	26687.2	25592
TderUga	TderCam	ScafKen	0.00133345	0.505716	0.613056	2.2353e+06	27174.5	27102.1
TderCam	ScafKen	TimbAby	0.0446969	16.5363	2.3e-16	686978	537319	491341
TderCam	ScafKen	TimbEth	0.0445877	16.0724	2.3e-16	685176	537215	491354
TderCam	ScafKen	TimbKen	0.0469302	17.1073	2.3e-16	685996	538029	489793
TderCam	ScafKen	TimbSom	0.0460407	16.6848	2.3e-16	687416	538139	490768
TderCam	ScafKen	TimbTan	0.0469632	17.0144	2.3e-16	686495	537910	489652
TderCam	ScafKen	TimbUga	0.0481675	17.3889	2.3e-16	687318	538879	489352
ToryBot	TderCam	ScafKen	0.0615107	32.8398	2.3e-16	1.84054e+06	225212	199112
ToryEth	TderCam	ScafKen	0.0591394	31.8232	2.3e-16	1.84157e+06	224134	199104
ToryKen	TderCam	ScafKen	0.0603501	34.3325	2.3e-16	1.83546e+06	223620	198165
ToryNam	TderCam	ScafKen	0.0592089	32.1215	2.3e-16	1.8419e+06	224277	199203
ToryRSA	TderCam	ScafKen	0.0632334	29.3593	2.3e-16	1.71803e+06	210083	185094
ToryTan	TderCam	ScafKen	0.0607559	35.1658	2.3e-16	1.84102e+06	224796	199045
ToryZam	TderCam	ScafKen	0.0605613	33.3624	2.3e-16	1.84205e+06	224544	198899
ToryZim	TderCam	ScafKen	0.0639924	37.0376	2.3e-16	1.83836e+06	226729	199457
TderCam	TscrGha	ScafKen	0.124272	45.994	2.3e-16	897737	559279	435639
TderCam	TspeBot	ScafKen	0.0260145	13.7109	2.3e-16	1.15898e+06	451282	428398
TderCam	TspeCam	ScafKen	0.0252207	12.1968	2.3e-16	1.16109e+06	452750	430474
TderCam	TspeCon	ScafKen	0.0268378	14.1814	2.3e-16	1.16039e+06	451517	427915
TderCam	TspeDRC	ScafKen	0.0248776	11.9986	2.3e-16	1.1615e+06	452350	430390
TderCam	TspeGha	ScafKen	0.0270698	13.5038	2.3e-16	1.15528e+06	449069	425398
TderCam	TspeTan	ScafKen	0.0249398	10.8347	2.3e-16	1.15956e+06	451842	429853
TderCam	TspeZam	ScafKen	0.0245069	11.386	2.3e-16	1.14202e+06	445024	423733
TstrBot	TderCam	ScafKen	0.00402872	1.57168	0.116024	1.06945e+06	450268	446655
TstrNA-	TderCam	ScafKen	0.0196492	7.3324	2.26065e-13	1.05149e+06	456361	438772
TstrNam	TderCam	ScafKen	0.00578188	2.24546	0.0247389	1.06862e+06	451449	446258
TstrRSA	TderCam	ScafKen	0.00367206	1.41174	0.158028	1.05775e+06	445375	442116
TstrTan	TderCam	ScafKen	0.00392811	1.53541	0.124684	1.06873e+06	449873	446352
TstrZam	TderCam	ScafKen	0.00383983	1.49156	0.135816	1.06946e+06	449515	446076
TstrZim	TderCam	ScafKen	0.0045395	1.77218	0.0763654	1.06835e+06	450207	446138
TderCha	TderSSu	ScafKen	0.0418066	14.7211	2.3e-16	2.23331e+06	28373.4	26096.2
TderCha	TderUga	ScafKen	0.0196006	5.33453	9.57904e-08	2.22817e+06	28786	27679.2
TderCha	ScafKen	TimbAby	0.0452695	16.588	2.3e-16	684291	536588	490110
TderCha	ScafKen	TimbEth	0.0453741	16.2166	2.3e-16	682585	536570	489991
TderCha	ScafKen	TimbKen	0.0477092	17.2077	2.3e-16	683391	537375	488435
TderCha	ScafKen	TimbSom	0.0466627	16.7421	2.3e-16	684755	537435	489514
TderCha	ScafKen	TimbTan	0.0477379	17.1276	2.3e-16	683896	537262	488303
TderCha	ScafKen	TimbUga	0.0488066	17.4321	2.3e-16	684669	538183	488094
ToryBot	TderCha	ScafKen	0.0583505	31.8309	2.3e-16	1.83364e+06	224919	200118
ToryEth	TderCha	ScafKen	0.0559811	30.6691	2.3e-16	1.83467e+06	223832	200099
ToryKen	TderCha	ScafKen	0.0572126	33.143	2.3e-16	1.82863e+06	223283	199116
ToryNam	TderCha	ScafKen	0.0560639	31.1211	2.3e-16	1.835e+06	223980	200199
ToryRSA	TderCha	ScafKen	0.0601567	28.4459	2.3e-16	1.71155e+06	209842	186028
ToryTan	TderCha	ScafKen	0.0575914	33.7883	2.3e-16	1.83419e+06	224458	200012
ToryZam	TderCha	ScafKen	0.0573929	32.7191	2.3e-16	1.83526e+06	224202	199864
ToryZim	TderCha	ScafKen	0.060809	36.1857	2.3e-16	1.83144e+06	226411	200454
TderCha	TscrGha	ScafKen	0.125224	45.9576	2.3e-16	894104	558723	434364
TderCha	TspeBot	ScafKen	0.0274459	14.2908	2.3e-16	1.15429e+06	451146	427043
TderCha	TspeCam	ScafKen	0.0266624	12.78	2.3e-16	1.15652e+06	452568	429061
TderCha	TspeCon	ScafKen	0.0282766	14.8316	2.3e-16	1.15585e+06	451294	426473
TderCha	TspeDRC	ScafKen	0.0263252	12.594	2.3e-16	1.15697e+06	452150	428955
TderCha	TspeGha	ScafKen	0.0285346	14.2259	2.3e-16	1.1507e+06	448963	424052
TderCha	TspeTan	ScafKen	0.026371	11.3801	2.3e-16	1.15489e+06	451715	428503
TderCha	TspeZam	ScafKen	0.0259541	11.934	2.3e-16	1.13757e+06	444839	422332
TstrBot	TderCha	ScafKen	0.00258245	1.014	0.310582	1.06514e+06	448885	446572
TstrNA-	TderCha	ScafKen	0.0181838	6.82296	8.91842e-12	1.04725e+06	454942	438692
TstrNam	TderCha	ScafKen	0.00432888	1.69031	0.0909692	1.06449e+06	449984	446105
TstrRSA	TderCha	ScafKen	0.00220121	0.852285	0.394056	1.05373e+06	443913	441963
TstrTan	TderCha	ScafKen	0.00247448	0.974035	0.330039	1.06451e+06	448457	446243
TstrZam	TderCha	ScafKen	0.00239248	0.936223	0.349158	1.06522e+06	448108	445968
TstrZim	TderCha	ScafKen	0.00309485	1.21668	0.223724	1.0641e+06	448805	446036
TderUga	TderSSu	ScafKen	0.0233506	8.33091	2.3e-16	2.23977e+06	25570.8	24403.8
TderSSu	ScafKen	TimbAby	0.0445705	16.4673	2.3e-16	687770	537005	491178
TderSSu	ScafKen	TimbEth	0.0445351	16.0481	2.3e-16	685989	536930	491144
TderSSu	ScafKen	TimbKen	0.0468781	17.0876	2.3e-16	686815	537740	489582
TderSSu	ScafKen	TimbSom	0.0459376	16.6223	2.3e-16	688217	537835	490591
TderSSu	ScafKen	TimbTan	0.0469232	16.9771	2.3e-16	687320	537629	489436
TderSSu	ScafKen	TimbUga	0.0480575	17.326	2.3e-16	688111	538567	489176
ToryBot	TderSSu	ScafKen	0.0640298	35.1367	2.3e-16	1.8415e+06	225632	198477
ToryEth	TderSSu	ScafKen	0.061648	34.4989	2.3e-16	1.8425e+06	224574	198493
ToryKen	TderSSu	ScafKen	0.0629026	37.0656	2.3e-16	1.83639e+06	224043	197525
ToryNam	TderSSu	ScafKen	0.0617277	34.5548	2.3e-16	1.84286e+06	224689	198563
ToryRSA	TderSSu	ScafKen	0.0659011	30.5684	2.3e-16	1.71887e+06	210477	184451
ToryTan	TderSSu	ScafKen	0.0632795	37.8254	2.3e-16	1.84202e+06	225216	198409
ToryZam	TderSSu	ScafKen	0.0630853	36.1643	2.3e-16	1.84304e+06	224955	198256
ToryZim	TderSSu	ScafKen	0.0664979	39.6996	2.3e-16	1.83928e+06	227169	198840
TderSSu	TscrGha	ScafKen	0.123337	45.5035	2.3e-16	898220	558750	436054
TderSSu	TspeBot	ScafKen	0.0248812	13.0616	2.3e-16	1.15952e+06	450677	428795
TderSSu	TspeCam	ScafKen	0.0240744	11.5714	2.3e-16	1.16168e+06	452105	430848
TderSSu	TspeCon	ScafKen	0.0256886	13.4778	2.3e-16	1.16099e+06	450855	428272
TderSSu	TspeDRC	ScafKen	0.0237338	11.376	2.3e-16	1.16214e+06	451735	430790
TderSSu	TspeGha	ScafKen	0.02593	12.9023	2.3e-16	1.15583e+06	448484	425813
TderSSu	TspeTan	ScafKen	0.0237934	10.2944	2.3e-16	1.16013e+06	451253	430278
TderSSu	TspeZam	ScafKen	0.0233746	10.8608	2.3e-16	1.14259e+06	444406	424105
TstrBot	TderSSu	ScafKen	0.00521118	2.02624	0.0427399	1.06984e+06	450896	446221
TstrNA-	TderSSu	ScafKen	0.0208228	7.76942	7.88443e-15	1.05188e+06	456997	438353
TstrNam	TderSSu	ScafKen	0.00696366	2.69701	0.00699662	1.06907e+06	452057	445805
TstrRSA	TderSSu	ScafKen	0.00486813	1.86267	0.0625081	1.05824e+06	445972	441651
TstrTan	TderSSu	ScafKen	0.00511198	1.99163	0.0464117	1.06915e+06	450489	445906
TstrZam	TderSSu	ScafKen	0.00502898	1.9474	0.0514863	1.06988e+06	450135	445631
TstrZim	TderSSu	ScafKen	0.00572265	2.22698	0.0259487	1.06875e+06	450840	445710
TderUga	ScafKen	TimbAby	0.0449355	17.0518	2.3e-16	685905	536648	490493
TderUga	ScafKen	TimbEth	0.044992	16.6236	2.3e-16	684151	536597	490391
TderUga	ScafKen	TimbKen	0.0473392	17.7191	2.3e-16	684976	537411	488830
TderUga	ScafKen	TimbSom	0.0463049	17.2042	2.3e-16	686345	537474	489902
TderUga	ScafKen	TimbTan	0.0473714	17.5885	2.3e-16	685483	537300	488697
TderUga	ScafKen	TimbUga	0.048456	17.924	2.3e-16	686255	538222	488473
ToryBot	TderUga	ScafKen	0.0614473	33.0266	2.3e-16	1.83717e+06	225246	199167
ToryEth	TderUga	ScafKen	0.0590703	32.7886	2.3e-16	1.83817e+06	224160	199155
ToryKen	TderUga	ScafKen	0.0602926	35.1726	2.3e-16	1.83211e+06	223627	198195
