NA	-0.019653	-0.026190	-0.014472	-0.053249	-0.025079	-0.053406	-0.024920	-0.022886	0.042152	0.043264	0.033348	0.058175	0.040761	0.038487	0.031257	0.031580	0.030428	-0.014336	-0.022860	-0.003840	0.008189	-0.017545	-0.022845	-0.001517	-0.018864	0.004791	0.028580	0.003526	-0.014227	-0.024832	-0.024675	0.014748	0.015153	-0.016784	-0.013074	-0.020021	-0.009674	-0.015098	-0.002761	0.022025	-0.013364	-0.013124	-0.021145	-0.010425	0.019491	-0.021374	0.051727	0.010233	0.016509	-0.003852	-0.013093	0.008020	-0.003671	-0.004490	0.008823	0.035819	-0.013856	
-0.019653	NA	0.099380	0.086020	0.054606	0.086425	0.054183	0.093866	0.082903	-0.018518	-0.024803	-0.024550	-0.026535	-0.014370	-0.016111	-0.020247	-0.019949	-0.014351	-0.047126	-0.039637	-0.007375	-0.011127	-0.046163	-0.039744	0.009651	-0.047232	-0.017374	-0.018643	-0.010131	-0.047014	-0.042737	-0.042565	-0.003485	-0.002301	0.010366	0.005166	0.002181	0.003687	0.002240	-0.000689	0.000400	0.010453	0.001028	0.007201	0.001380	-0.019336	0.072758	-0.024789	0.000863	-0.004428	0.002437	0.007128	-0.001446	0.003891	-0.005494	-0.007252	-0.016310	0.003107	
-0.026190	0.099380	NA	0.070913	0.050562	0.095112	0.050045	0.187002	0.079564	-0.027666	-0.021846	-0.019813	-0.027156	-0.022994	-0.022366	-0.027817	-0.022916	-0.024444	-0.051694	-0.046410	-0.016111	-0.008021	-0.043600	-0.046403	0.025630	-0.044050	-0.011908	-0.023834	-0.011947	-0.051749	-0.044311	-0.044329	0.000927	-0.004076	0.007480	0.006758	0.005314	0.004373	0.004115	-0.005217	-0.002601	0.005866	0.005629	0.005622	0.001889	-0.021505	0.075747	-0.024813	-0.003024	0.000914	0.004048	-0.002590	-0.003968	0.001469	0.008064	-0.006171	-0.026266	0.005829	
-0.014472	0.086020	0.070913	NA	0.052357	0.075703	0.051009	0.074296	0.087819	-0.018315	-0.018449	-0.021702	-0.019191	-0.023864	-0.016614	-0.014008	-0.022007	-0.014341	-0.045020	-0.040314	-0.010085	-0.004665	-0.042994	-0.040630	0.021361	-0.043997	-0.011424	-0.022929	-0.013849	-0.044875	-0.040037	-0.040085	-0.004647	-0.008705	0.007962	0.011438	0.003184	0.012384	0.013760	-0.000248	-0.007661	0.010796	0.006578	0.004254	-0.003194	-0.016027	0.083290	-0.021495	-0.009614	-0.001508	-0.002107	0.000754	-0.002880	-0.005059	0.002588	-0.001465	-0.018626	0.009745	
-0.053249	0.054606	0.050562	0.052357	NA	0.070353	0.974407	0.041918	0.065269	-0.051897	-0.049533	-0.054659	-0.051820	-0.048203	-0.047973	-0.042179	-0.051101	-0.049268	-0.081077	-0.081362	-0.042125	-0.044659	-0.074555	-0.081433	-0.017196	-0.074916	-0.034376	-0.047305	-0.048433	-0.081115	-0.080378	-0.080458	-0.000883	-0.006777	0.009636	0.012299	0.005274	0.006222	0.013044	0.008481	-0.006395	0.027378	0.007631	0.010483	-0.000077	-0.048262	0.053231	-0.053060	0.000291	0.001680	0.001225	0.007172	-0.005817	0.003339	0.004555	0.000359	-0.048518	0.009100	
-0.025079	0.086425	0.095112	0.075703	0.070353	NA	0.071150	0.081302	0.083122	-0.025037	-0.017920	-0.016405	-0.023379	-0.022846	-0.022839	-0.019102	-0.022830	-0.019652	-0.048950	-0.046892	-0.006534	-0.016838	-0.044507	-0.047277	0.018858	-0.046036	-0.015197	-0.018483	-0.011217	-0.048873	-0.037680	-0.037691	-0.002447	-0.007048	0.011514	0.010911	0.006235	0.006234	0.003275	0.000026	0.002051	0.016716	0.006834	0.006915	0.002143	-0.022205	0.088773	-0.033766	-0.007510	-0.005231	-0.005550	0.001772	-0.002510	-0.000250	0.000957	0.000751	-0.023865	0.005086	
-0.053406	0.054183	0.050045	0.051009	0.974407	0.071150	NA	0.041434	0.064906	-0.051786	-0.049781	-0.054518	-0.051727	-0.048214	-0.047888	-0.041994	-0.050918	-0.049215	-0.081045	-0.081060	-0.041957	-0.044483	-0.074017	-0.081315	-0.017138	-0.074551	-0.033309	-0.046964	-0.048282	-0.081125	-0.080207	-0.080103	-0.000986	-0.006778	0.009729	0.012272	0.005366	0.006450	0.013118	0.008148	-0.006660	0.025835	0.007812	0.010312	-0.000102	-0.048207	0.052657	-0.052910	0.000582	0.001797	0.001184	0.007130	-0.005801	0.003402	0.004653	0.000226	-0.048488	0.008852	
-0.024920	0.093866	0.187002	0.074296	0.041918	0.081302	0.041434	NA	0.081498	-0.027720	-0.017888	-0.022644	-0.028760	-0.022864	-0.024521	-0.021984	-0.023847	-0.020486	-0.047843	-0.046578	-0.014674	-0.015030	-0.048436	-0.046639	0.016555	-0.047470	-0.000498	-0.020128	-0.016565	-0.048046	-0.045993	-0.046100	-0.004526	0.000260	0.005708	0.004622	0.010778	0.006339	0.008927	0.001418	-0.002002	-0.015397	0.004918	0.013397	0.002300	-0.017427	0.072124	-0.027067	-0.008910	-0.004547	-0.003531	0.013679	-0.010823	0.000168	0.001205	-0.006191	-0.024670	0.004460	
-0.022886	0.082903	0.079564	0.087819	0.065269	0.083122	0.064906	0.081498	NA	-0.021354	-0.021466	-0.019451	-0.021513	-0.023796	-0.021576	-0.020489	-0.017712	-0.016084	-0.044923	-0.043914	-0.005525	-0.012841	-0.047339	-0.043665	0.019507	-0.047861	-0.006045	-0.019409	-0.015722	-0.044824	-0.043472	-0.043630	-0.005214	-0.005457	0.002923	0.000986	0.005868	0.003963	0.004494	0.000481	-0.001141	-0.000052	0.001264	0.004496	0.003953	-0.014335	0.077782	-0.023204	-0.001867	-0.002655	0.005120	0.009708	-0.005288	0.001783	0.005418	-0.002456	-0.021159	0.003719	
0.042152	-0.018518	-0.027666	-0.018315	-0.051897	-0.025037	-0.051786	-0.027720	-0.021354	NA	0.096684	0.047586	0.061403	0.056720	0.053690	0.051053	0.039022	0.034898	-0.017009	-0.034775	-0.000245	-0.004227	-0.030514	-0.035210	-0.001746	-0.031482	0.000447	0.033418	0.002887	-0.016854	-0.034790	-0.034525	0.003693	-0.003163	-0.009908	-0.008245	-0.007027	-0.007333	-0.008153	0.002427	0.003956	-0.007213	-0.011494	-0.003170	-0.010748	0.018091	-0.021303	0.036655	0.008062	0.003588	0.000210	-0.007118	-0.000691	-0.012044	-0.003722	0.004441	0.025233	-0.014346	
