Sample	Inferred_sex	Median_depth_sex_scaffolds	Nreads	NreadsNormalizing	minNormDepNormalizing	maxNormDepNormalizing
ToryTan_0634.Cattle.idxstats.txt	heteromorphic	0.590388699764184	251714262	60584526	0.615420701474958	1.12887839593271
ToryTan_0635.Cattle.idxstats.txt	heteromorphic	0.663662676600405	218888035	52533050	0.606691810364106	1.1188443933602
ToryTan_0636.Cattle.idxstats.txt	heteromorphic	0.529984673375423	200768323	48473107	0.605737369652317	1.14229520276161
ToryTan_0637.Cattle.idxstats.txt	heteromorphic	0.569832875350939	199664730	47511331	0.582183416619416	1.14383872196231
ToryTan_0638.Cattle.idxstats.txt	heteromorphic	0.564398599300741	162876023	39499987	0.607091479881528	1.11558737993774
ToryTan_0639.Cattle.idxstats.txt	heteromorphic	0.591462646576062	185021813	44823968	0.614419746748809	1.11272058602078
ToryTan_0640.Cattle.idxstats.txt	heteromorphic	0.556286134622681	258213612	61517264	0.595789655395584	1.16372735717592
ToryTan_0641.Cattle.idxstats.txt	heteromorphic	0.590700149619545	224045403	53882658	0.620688366710842	1.13547235558003
ToryTan_0642.Cattle.idxstats.txt	heteromorphic	0.547137391979503	210270028	50501890	0.606228162526898	1.14760636407386
ToryTan_0643.Cattle.idxstats.txt	heteromorphic	0.584202674947984	217152488	52371748	0.601820398822907	1.11977521752355
ToryTan_0644.Cattle.idxstats.txt	heteromorphic	0.593259464705159	211865710	51133317	0.609757629180922	1.12195767448516
ToryTan_0645.Cattle.idxstats.txt	heteromorphic	0.575196501912976	188659472	45180847	0.5958688175828	1.14589399891726
ToryTan_0646.Cattle.idxstats.txt	heteromorphic	0.550640523907328	205877892	49405630	0.598225313297314	1.147511380734
ToryTan_0649.Cattle.idxstats.txt	heteromorphic	0.555877255028396	236670554	56779949	0.599598021027878	1.15340711948292
ToryTan_0650.Cattle.idxstats.txt	heteromorphic	0.60927701963265	246120290	58660407	0.588904502007021	1.16109835445874
ToryKen_0651.Cattle.idxstats.txt	homomorphic	1.0903549066517	191712684	49147038	0.992220523505537	1.19024208953926
ToryEth_0652.Cattle.idxstats.txt	heteromorphic	0.572806719282139	308401202	73297329	0.57013304836618	1.15151391670987
ToryEth_0653.Cattle.idxstats.txt	homomorphic	1.04393347054382	253398784	64963336	0.983153267656275	1.17015677008795
ToryEth_0654.Cattle.idxstats.txt	homomorphic	1.09252910503563	222666809	57192240	0.975013240296088	1.18047792115867
ToryEth_0655.Cattle.idxstats.txt	heteromorphic	0.598763752094303	241645124	57496888	0.572256666498615	1.1533791179002
ToryTan_0656.Cattle.idxstats.txt	heteromorphic	0.559330993320196	246372783	58808519	0.56941768576757	1.15314311085595
ToryTan_0657.Cattle.idxstats.txt	homomorphic	1.00549238406062	195383323	50646629	0.979362617139889	1.13822655825221
ToryTan_0658.Cattle.idxstats.txt	heteromorphic	0.545343781181779	241435152	57356013	0.576952714526923	1.15917516922453
