P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TspeTan	TbuxEth	ScafKen	0.0192291	11.2058	2.3e-16	2.9705e+06	847312	815341
TspeZam	TbuxEth	ScafKen	0.0187418	11.0547	2.3e-16	2.96532e+06	847277	816102
TstrBot	TbuxEth	ScafKen	0.137597	39.0646	2.3e-16	2.06295e+06	1.30539e+06	989607
TstrNA-	TbuxEth	ScafKen	0.146922	42.7351	2.3e-16	2.04787e+06	1.3223e+06	983523
TstrNam	TbuxEth	ScafKen	0.138073	39.1901	2.3e-16	2.06103e+06	1.30542e+06	988668
TstrRSA	TbuxEth	ScafKen	0.135659	38.9812	2.3e-16	2.06266e+06	1.30048e+06	989782
TstrTan	TbuxEth	ScafKen	0.137439	39.1608	2.3e-16	2.06199e+06	1.30413e+06	988970
TstrZam	TbuxEth	ScafKen	0.137481	38.9763	2.3e-16	2.06198e+06	1.30414e+06	988892
TstrZim	TbuxEth	ScafKen	0.137543	39.0374	2.3e-16	2.06121e+06	1.30379e+06	988500
TderCha	TderCam	ScafKen	0.0293275	12.9623	2.3e-16	5.75758e+06	46584.9	43930.3
TderCam	TderSSu	ScafKen	0.0163405	8.89987	2.3e-16	5.76125e+06	43907	42495.2
TderUga	TderCam	ScafKen	0.00333451	1.52224	0.127949	5.75419e+06	45936.5	45631.2
TderCam	TimbAby	ScafKen	0.00363452	1.54253	0.122944	1.07972e+06	1.43443e+06	1.42404e+06
TderCam	TimbEth	ScafKen	0.00425679	1.84168	0.0655218	1.07641e+06	1.43307e+06	1.42092e+06
TderCam	TimbKen	ScafKen	0.00463065	1.97334	0.0484571	1.07351e+06	1.43557e+06	1.42234e+06
TderCam	TimbSom	ScafKen	0.00360467	1.56001	0.118757	1.07956e+06	1.43636e+06	1.42604e+06
TderCam	TimbTan	ScafKen	0.00410575	1.77635	0.0756761	1.07304e+06	1.43559e+06	1.42385e+06
TderCam	TimbUga	ScafKen	0.00457004	1.975	0.048268	1.07524e+06	1.43891e+06	1.42582e+06
ToryBot	TderCam	ScafKen	0.0157285	9.56215	2.3e-16	4.5275e+06	484940	469921
ToryEth	TderCam	ScafKen	0.012884	7.83914	4.53652e-15	4.5344e+06	481977	469715
ToryKen	TderCam	ScafKen	0.0131643	8.33681	2.3e-16	4.53298e+06	482194	469664
ToryNam	TderCam	ScafKen	0.0136124	8.2787	2.3e-16	4.53243e+06	482861	469892
ToryRSA	TderCam	ScafKen	0.0134423	7.8817	3.22951e-15	4.52921e+06	483008	470194
ToryTan	TderCam	ScafKen	0.0139008	8.82136	2.3e-16	4.53179e+06	483182	469933
ToryZam	TderCam	ScafKen	0.0141946	8.6691	2.3e-16	4.53334e+06	483168	469643
ToryZim	TderCam	ScafKen	0.0180986	11.3908	2.3e-16	4.51944e+06	487903	470556
TderCam	TscrGha	ScafKen	0.126523	45.6028	2.3e-16	1.8945e+06	1.25829e+06	975642
TderCam	TspeBot	ScafKen	0.044778	22.0959	2.3e-16	2.28954e+06	1.01937e+06	931992
TderCam	TspeCam	ScafKen	0.0438764	21.4483	2.3e-16	2.29468e+06	1.02313e+06	937119
TderCam	TspeCon	ScafKen	0.0460061	24.2331	2.3e-16	2.29429e+06	1.02157e+06	931710
TderCam	TspeDRC	ScafKen	0.0437994	22.0522	2.3e-16	2.29493e+06	1.02282e+06	936983
TderCam	TspeGha	ScafKen	0.0460748	25.6014	2.3e-16	2.29195e+06	1.01972e+06	929890
TderCam	TspeTan	ScafKen	0.0436754	20.3645	2.3e-16	2.288e+06	1.02022e+06	934835
TderCam	TspeZam	ScafKen	0.0441386	21.6605	2.3e-16	2.28714e+06	1.01939e+06	933203
TstrBot	TderCam	ScafKen	0.0887557	23.8533	2.3e-16	2.06663e+06	1.21703e+06	1.0186e+06
TstrNA-	TderCam	ScafKen	0.0986517	27.202	2.3e-16	2.05308e+06	1.23292e+06	1.0115e+06
TstrNam	TderCam	ScafKen	0.0892718	23.9918	2.3e-16	2.06612e+06	1.21647e+06	1.01707e+06
