NA	0.002604	0.004751	0.004759	0.001203	-0.003049	0.004216	0.009021	0.010963	0.003140	0.019074	0.010290	0.010327	-0.007540	-0.001618	-0.018483	-0.014257	-0.009314	-0.009677	-0.002461	-0.010063	-0.001986	-0.007625	-0.005235	-0.015543	0.000737	0.003078	-0.000682	-0.005898	0.000835	0.001529	0.013091	-0.001100	-0.002109	0.000263	-0.004201	-0.011597	0.006241	0.019857	-0.003542	-0.008597	0.000430	-0.007264	0.004672	-0.002360	-0.003631	0.018473	0.007731	
0.002604	NA	0.020636	0.003594	-0.006177	-0.002850	-0.001020	0.006440	0.002389	-0.000519	0.000882	0.009136	-0.000998	0.002774	0.004579	-0.006889	-0.000978	-0.011976	-0.005643	-0.002823	-0.000201	-0.000673	-0.007996	-0.005634	-0.003841	-0.004473	0.001770	-0.000634	0.000825	-0.003647	-0.001260	0.001525	-0.012492	-0.000445	0.002538	-0.003585	0.002629	0.002385	0.005830	-0.000470	-0.001854	0.004020	0.002891	0.002382	-0.001777	-0.002347	0.004203	0.001133	
0.004751	0.020636	NA	-0.002903	0.007441	-0.007000	0.001594	-0.004024	0.007418	0.009497	0.003948	0.003804	0.001856	-0.003789	0.004173	-0.006118	-0.009982	-0.008580	-0.012442	0.004789	0.000158	-0.001807	-0.004195	-0.004305	-0.007055	-0.004271	0.001994	0.002270	-0.005252	-0.000240	0.000514	0.003445	-0.014389	-0.001406	0.003929	0.001647	0.007164	-0.004429	0.005050	-0.003424	-0.003434	0.000412	-0.002136	-0.002106	-0.000548	0.004101	0.004668	0.000447	
0.004759	0.003594	-0.002903	NA	-0.005265	-0.008192	0.017933	0.007806	0.000050	0.000334	0.008283	0.000407	0.005618	0.001122	-0.002427	-0.006983	-0.010379	0.002836	-0.004435	0.002198	0.000060	-0.003189	0.000653	-0.002428	-0.007721	0.003262	-0.005255	-0.004885	0.006265	0.001307	-0.000947	0.001189	-0.005809	-0.004850	0.001778	-0.001594	-0.000861	-0.000593	0.001273	0.002542	-0.003357	-0.000482	0.002778	-0.001220	0.004030	-0.003815	0.000149	-0.000048	
0.001203	-0.006177	0.007441	-0.005265	NA	0.012572	-0.004761	0.003030	0.001216	0.008080	0.000635	-0.001063	0.004948	0.001266	-0.000136	-0.004769	-0.000824	-0.005153	-0.005208	0.000973	-0.003104	0.003045	0.000378	-0.001922	-0.005131	0.003803	-0.003896	0.001085	0.003872	-0.007602	-0.001522	-0.000997	0.006336	0.002508	0.002464	0.001262	-0.001188	0.009945	0.002347	-0.001732	-0.002289	0.000239	0.002129	0.002116	-0.002141	0.001276	-0.006145	-0.002670	
-0.003049	-0.002850	-0.007000	-0.008192	0.012572	NA	0.009256	0.001426	0.001904	-0.000930	0.002608	0.001184	0.009012	0.010931	0.001879	-0.011345	-0.003749	-0.005054	-0.003385	0.000319	-0.006771	0.003962	-0.004433	0.001206	-0.003949	0.002619	0.003358	-0.000891	0.000773	-0.003413	-0.000669	-0.005397	0.001781	0.004279	0.000222	0.002985	0.000198	0.007002	-0.003541	0.000209	0.004166	-0.002114	-0.001392	-0.000167	-0.000113	-0.003676	-0.000084	-0.001264	
0.004216	-0.001020	0.001594	0.017933	-0.004761	0.009256	NA	0.004287	0.010564	0.003367	0.004137	0.000573	0.005180	0.006168	0.005406	-0.008857	-0.006829	-0.003829	-0.011654	-0.004361	0.001819	0.001145	-0.011381	-0.001959	-0.013033	-0.004705	-0.001009	-0.003170	0.001969	0.004903	0.003992	0.007627	-0.021993	0.000378	-0.004891	-0.005643	-0.001314	-0.002688	0.002497	0.000732	0.003758	-0.001481	-0.009332	0.003026	-0.000233	-0.001129	0.004116	0.000341	
0.009021	0.006440	-0.004024	0.007806	0.003030	0.001426	0.004287	NA	0.053843	0.011253	0.018581	0.011530	0.010524	0.015791	0.001531	-0.018866	-0.013018	-0.019148	-0.019430	-0.010573	-0.007399	-0.003567	-0.012060	-0.012316	-0.018756	-0.003620	-0.003732	0.003118	0.001182	0.001827	0.001472	0.001916	-0.010121	-0.006313	0.002710	-0.003362	-0.001578	0.006623	-0.003807	0.005570	-0.000451	0.001159	-0.001632	-0.001415	0.001648	-0.005132	-0.006262	-0.003969	
0.010963	0.002389	0.007418	0.000050	0.001216	0.001904	0.010564	0.053843	NA	0.007558	0.010674	0.008805	0.008779	0.001127	0.007117	-0.015315	-0.019280	-0.017817	-0.022058	-0.013522	-0.000102	-0.006727	-0.015463	-0.012984	-0.028723	-0.011931	0.006070	0.004155	-0.012089	0.010144	0.008174	0.020675	-0.015145	-0.009190	0.002800	0.002147	-0.003098	0.016536	0.008617	-0.012632	-0.004094	-0.007348	-0.016345	-0.002562	-0.000423	0.011592	0.007463	0.004797	
0.003140	-0.000519	0.009497	0.000334	0.008080	-0.000930	0.003367	0.011253	0.007558	NA	0.008872	0.012656	0.026239	0.025344	0.010417	-0.015336	-0.013411	-0.017718	-0.014623	-0.005052	-0.005725	-0.000980	-0.015264	-0.006388	-0.014318	0.000581	0.001211	0.003306	-0.002819	-0.000257	-0.000220	-0.003065	-0.011364	-0.001477	-0.000250	0.002891	-0.006380	0.007918	-0.003065	0.002945	-0.000103	-0.000254	0.001111	0.002089	-0.004763	-0.004789	-0.010271	0.001297	
0.019074	0.000882	0.003948	0.008283	0.000635	0.002608	0.004137	0.018581	0.010674	0.008872	NA	0.013590	0.003987	0.013674	0.003986	-0.017374	-0.016516	-0.014518	-0.018813	-0.006077	-0.009948	0.003230	-0.016032	-0.008807	-0.009995	-0.004792	-0.001308	-0.000498	0.007302	0.001059	-0.002505	0.000927	0.004242	-0.001657	-0.001354	-0.004448	-0.007794	0.004637	0.010095	0.007323	0.001774	0.007974	-0.006950	-0.001778	0.000135	-0.003476	0.002274	-0.005297	
0.010290	0.009136	0.003804	0.000407	-0.001063	0.001184	0.000573	0.011530	0.008805	0.012656	0.013590	NA	0.002786	0.003948	0.001610	-0.014117	-0.006565	-0.008780	-0.015431	-0.004458	0.005862	-0.006892	-0.013932	-0.009380	-0.009603	0.001590	0.003527	0.004224	-0.000426	-0.003262	-0.001392	0.000920	-0.031095	-0.000792	0.000352	-0.005777	-0.004314	0.003265	0.013497	0.002074	-0.003316	-0.000124	-0.001812	0.004063	0.003104	-0.007956	0.004624	-0.000265	
