P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
TstrBot	TbuxEth	ScafKen	0.0236584	14.4053	2.3e-16	1.30654e+06	628004	598976
TstrNA-	TbuxEth	ScafKen	0.0356216	21.8097	2.3e-16	1.28525e+06	633365	589795
TstrNam	TbuxEth	ScafKen	0.0250254	15.4225	2.3e-16	1.30568e+06	629348	598617
TstrRSA	TbuxEth	ScafKen	0.0235701	13.9298	2.3e-16	1.29268e+06	621507	592883
TstrTan	TbuxEth	ScafKen	0.0234898	14.2419	2.3e-16	1.30604e+06	627480	598678
TstrZam	TbuxEth	ScafKen	0.0233669	13.9833	2.3e-16	1.30613e+06	627325	598677
TstrZim	TbuxEth	ScafKen	0.0239192	14.3555	2.3e-16	1.30575e+06	627779	598448
TderCha	TderCam	ScafKen	0.0313227	11.5978	2.3e-16	2.8063e+06	31438.6	29528.9
TderCam	TderSSu	ScafKen	0.0197039	9.66766	2.3e-16	2.81489e+06	30757.7	29569.1
TderUga	TderCam	ScafKen	0.00476821	2.02953	0.042404	2.80808e+06	31716.7	31415.6
TderCam	ScafKen	TimbAby	0.0338892	16.7738	2.3e-16	864265	743109	694393
TderCam	ScafKen	TimbEth	0.0338487	16.3294	2.3e-16	861917	743019	694366
TderCam	ScafKen	TimbKen	0.0359081	17.5051	2.3e-16	862943	744070	692486
TderCam	ScafKen	TimbSom	0.0349681	16.8778	2.3e-16	865030	744024	693748
TderCam	ScafKen	TimbTan	0.0359561	17.4474	2.3e-16	863482	743945	692303
TderCam	ScafKen	TimbUga	0.036847	17.7219	2.3e-16	864909	744973	692024
TderCam	ToryBot	ScafKen	0.00529456	3.0346	0.00240853	2.29813e+06	285972	282960
TderCam	ToryEth	ScafKen	0.00730623	4.29958	1.71122e-05	2.29947e+06	285809	281663
TderCam	ToryKen	ScafKen	0.00648415	3.84283	0.000121621	2.29196e+06	284663	280995
TderCam	ToryNam	ScafKen	0.0071732	4.42585	9.60644e-06	2.2997e+06	286010	281936
TderCam	ToryRSA	ScafKen	0.0041906	2.10144	0.0356022	2.14311e+06	265623	263406
TderCam	ToryTan	ScafKen	0.00603166	3.60496	0.000312203	2.29884e+06	285788	282361
TderCam	ToryZam	ScafKen	0.00609837	3.79023	0.000150508	2.29996e+06	285677	282214
TderCam	ToryZim	ScafKen	0.00262072	1.62286	0.104619	2.29558e+06	286473	284975
TderCam	TscrGha	ScafKen	0.101871	44.2989	2.3e-16	1.15578e+06	744275	606654
TderCam	TspeBot	ScafKen	0.0420458	23.7854	2.3e-16	1.47623e+06	618700	568772
TderCam	TspeCam	ScafKen	0.0405432	22.3568	2.3e-16	1.47868e+06	620271	571935
TderCam	TspeCon	ScafKen	0.0425479	25.5767	2.3e-16	1.47757e+06	618696	568196
TderCam	TspeDRC	ScafKen	0.0403978	23.0067	2.3e-16	1.47907e+06	619943	571799
TderCam	TspeGha	ScafKen	0.0429812	26.3315	2.3e-16	1.47119e+06	615655	564912
TderCam	TspeTan	ScafKen	0.0412498	20.1336	2.3e-16	1.4768e+06	619470	570389
TderCam	TspeZam	ScafKen	0.0402758	20.8052	2.3e-16	1.45446e+06	609920	562692
TderCam	TstrBot	ScafKen	0.0314962	18.9026	2.3e-16	1.37235e+06	616303	578666
TderCam	TstrNA-	ScafKen	0.0187659	10.8152	2.3e-16	1.35017e+06	606282	583947
TderCam	TstrNam	ScafKen	0.0300666	17.8547	2.3e-16	1.37149e+06	615806	579857
TderCam	TstrRSA	ScafKen	0.0316438	18.988	2.3e-16	1.35701e+06	609849	572437
TderCam	TstrTan	ScafKen	0.0317131	19.1295	2.3e-16	1.37157e+06	615954	578087
TderCam	TstrZam	ScafKen	0.0318681	19.1252	2.3e-16	1.37246e+06	615603	577578
TderCam	TstrZim	ScafKen	0.0312702	18.8642	2.3e-16	1.37114e+06	615740	578399
TderCha	TderSSu	ScafKen	0.0484951	21.4014	2.3e-16	2.80552e+06	33295.8	30215.8
TderCha	TderUga	ScafKen	0.0239743	6.81416	9.4817e-12	2.79905e+06	34009.8	32417.2
TderCha	ScafKen	TimbAby	0.0348135	17.1204	2.3e-16	860860	742478	692521
TderCha	ScafKen	TimbEth	0.0348321	16.7006	2.3e-16	858565	742429	692449
TderCha	ScafKen	TimbKen	0.0368898	17.8849	2.3e-16	859580	743473	690571
