P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ToryNam2	TbuxEth	ScafKen	0.0515065	20.5679	2.3e-16	1.42173e+06	639912	577222
ToryRSA	TbuxEth	ScafKen	0.0549568	20.8835	2.3e-16	1.3245e+06	597761	535481
ToryTan1	TbuxEth	ScafKen	0.051843	21.0985	2.3e-16	1.42131e+06	640109	577010
ToryTan2	TbuxEth	ScafKen	0.0520573	21.0395	2.3e-16	1.42107e+06	640290	576925
ToryZam1	TbuxEth	ScafKen	0.0519048	20.5602	2.3e-16	1.42139e+06	640301	577111
ToryZam2	TbuxEth	ScafKen	0.0519049	21.155	2.3e-16	1.42163e+06	640278	577090
ToryZim1	TbuxEth	ScafKen	0.0530506	21.2813	2.3e-16	1.4202e+06	641657	577007
ToryZim2	TbuxEth	ScafKen	0.0539105	21.9654	2.3e-16	1.41926e+06	642438	576713
TbuxEth	TscrGha	ScafKen	0.060097	26.0556	2.3e-16	1.32503e+06	673374	597027
TspeBot	TbuxEth	ScafKen	0.0165909	9.49685	2.3e-16	1.7629e+06	514251	497465
TspeCam	TbuxEth	ScafKen	0.0181751	10.5244	2.3e-16	1.76863e+06	516216	497787
TspeCon	TbuxEth	ScafKen	0.0160641	8.80837	2.3e-16	1.77214e+06	511327	495158
TspeDRC	TbuxEth	ScafKen	0.0183993	10.0822	2.3e-16	1.77025e+06	515757	497121
TspeGha	TbuxEth	ScafKen	0.0154956	7.86943	3.56258e-15	1.76432e+06	508639	493116
TspeTan	TbuxEth	ScafKen	0.0174887	10.2751	2.3e-16	1.76472e+06	515012	497308
TspeZam	TbuxEth	ScafKen	0.018248	10.3235	2.3e-16	1.73903e+06	508975	490733
TstrBot	TbuxEth	ScafKen	0.0236584	14.4053	2.3e-16	1.30654e+06	628004	598976
TstrNA-	TbuxEth	ScafKen	0.0356216	21.8097	2.3e-16	1.28525e+06	633365	589795
TstrNam	TbuxEth	ScafKen	0.0250254	15.4225	2.3e-16	1.30568e+06	629348	598617
TstrRSA	TbuxEth	ScafKen	0.0235701	13.9298	2.3e-16	1.29268e+06	621507	592883
TstrTan	TbuxEth	ScafKen	0.0234898	14.2419	2.3e-16	1.30604e+06	627480	598678
TstrZam	TbuxEth	ScafKen	0.0235979	14.1403	2.3e-16	1.30534e+06	627319	598395
TstrZam1	TbuxEth	ScafKen	0.0234652	13.8581	2.3e-16	1.29651e+06	622758	594202
TstrZim	TbuxEth	ScafKen	0.0239192	14.3555	2.3e-16	1.30575e+06	627779	598448
TderCha	TderCam	ScafKen	0.0313227	11.5978	2.3e-16	2.8063e+06	31438.6	29528.9
TderCam	TderSSu	ScafKen	0.0197039	9.66766	2.3e-16	2.81489e+06	30757.7	29569.1
TderUga	TderCam	ScafKen	0.00476821	2.02953	0.042404	2.80808e+06	31716.7	31415.6
TderCam	ScafKen	TimbAby	0.0338892	16.7738	2.3e-16	864265	743109	694393
TderCam	ScafKen	TimbEth	0.0338487	16.3294	2.3e-16	861917	743019	694366
TderCam	ScafKen	TimbKen	0.0359081	17.5051	2.3e-16	862943	744070	692486
TderCam	ScafKen	TimbSom	0.0349681	16.8778	2.3e-16	865030	744024	693748
TderCam	ScafKen	TimbTan	0.0359561	17.4474	2.3e-16	863482	743945	692303
TderCam	ScafKen	TimbUga	0.036847	17.7219	2.3e-16	864909	744973	692024
TderCam	ToryBot1	ScafKen	0.00402501	2.33723	0.0194271	2.29718e+06	285896	283603
TderCam	ToryBot2	ScafKen	0.00659586	3.71616	0.000202277	2.2991e+06	286050	282301
TderCam	ToryEth1	ScafKen	0.00781392	4.55271	5.29602e-06	2.29917e+06	285828	281396
TderCam	ToryEth2	ScafKen	0.00687208	4.01504	5.94352e-05	2.29881e+06	285701	281801
TderCam	ToryKen1	ScafKen	0.00606784	3.44447	0.000572179	2.25372e+06	279838	276462
TderCam	ToryKen2	ScafKen	0.00327023	1.66599	0.095715	1.96398e+06	247264	245652
TderCam	ToryNam1	ScafKen	0.00737009	4.52848	5.94107e-06	2.29974e+06	286058	281872
TderCam	ToryNam2	ScafKen	0.00697655	4.30283	1.68631e-05	2.29966e+06	285963	282001
TderCam	ToryRSA	ScafKen	0.0041906	2.10144	0.0356022	2.14311e+06	265623	263406
TderCam	ToryTan1	ScafKen	0.00626379	3.79283	0.000148942	2.29907e+06	285842	282283
TderCam	ToryTan2	ScafKen	0.00578507	3.39758	0.000679837	2.29859e+06	285728	282441
TderCam	ToryZam1	ScafKen	0.00609523	3.79432	0.000148049	2.29979e+06	285650	282189
TderCam	ToryZam2	ScafKen	0.00611387	3.72671	0.000193992	2.30006e+06	285684	282212
TderCam	ToryZim1	ScafKen	0.00350478	2.20093	0.027741	2.29699e+06	286379	284379
TderCam	ToryZim2	ScafKen	0.00160788	0.971664	0.331218	2.29395e+06	286583	285663
TderCam	TscrGha	ScafKen	0.101871	44.2989	2.3e-16	1.15578e+06	744275	606654
TderCam	TspeBot	ScafKen	0.0420458	23.7854	2.3e-16	1.47623e+06	618700	568772
TderCam	TspeCam	ScafKen	0.0405432	22.3568	2.3e-16	1.47868e+06	620271	571935
TderCam	TspeCon	ScafKen	0.0425479	25.5767	2.3e-16	1.47757e+06	618696	568196
TderCam	TspeDRC	ScafKen	0.0403978	23.0067	2.3e-16	1.47907e+06	619943	571799
TderCam	TspeGha	ScafKen	0.0429812	26.3315	2.3e-16	1.47119e+06	615655	564912
TderCam	TspeTan	ScafKen	0.0412498	20.1336	2.3e-16	1.4768e+06	619470	570389
TderCam	TspeZam	ScafKen	0.0402758	20.8052	2.3e-16	1.45446e+06	609920	562692
TderCam	TstrBot	ScafKen	0.0314962	18.9026	2.3e-16	1.37235e+06	616303	578666
TderCam	TstrNA-	ScafKen	0.0187659	10.8152	2.3e-16	1.35017e+06	606282	583947
TderCam	TstrNam	ScafKen	0.0300666	17.8547	2.3e-16	1.37149e+06	615806	579857
TderCam	TstrRSA	ScafKen	0.0316438	18.988	2.3e-16	1.35701e+06	609849	572437
TderCam	TstrTan	ScafKen	0.0317131	19.1295	2.3e-16	1.37157e+06	615954	578087
TderCam	TstrZam	ScafKen	0.031628	18.7898	2.3e-16	1.37086e+06	615617	577870
TderCam	TstrZam1	ScafKen	0.0317445	19.0149	2.3e-16	1.36367e+06	610329	572772
TderCam	TstrZim	ScafKen	0.0312702	18.8642	2.3e-16	1.37114e+06	615740	578399
TderCha	TderSSu	ScafKen	0.0484951	21.4014	2.3e-16	2.80552e+06	33295.8	30215.8
TderCha	TderUga	ScafKen	0.0239743	6.81416	9.4817e-12	2.79905e+06	34009.8	32417.2
TderCha	ScafKen	TimbAby	0.0348135	17.1204	2.3e-16	860860	742478	692521
TderCha	ScafKen	TimbEth	0.0348321	16.7006	2.3e-16	858565	742429	692449
TderCha	ScafKen	TimbKen	0.0368898	17.8849	2.3e-16	859580	743473	690571
TderCha	ScafKen	TimbSom	0.0359058	17.2374	2.3e-16	861642	743413	691878
TderCha	ScafKen	TimbTan	0.0369365	17.8469	2.3e-16	860124	743354	690396
TderCha	ScafKen	TimbUga	0.0377874	18.0496	2.3e-16	861525	744363	690157
TderCha	ToryBot1	ScafKen	0.00759638	4.53507	5.75832e-06	2.28876e+06	287486	283151
TderCha	ToryBot2	ScafKen	0.0101823	5.89355	3.77991e-09	2.29067e+06	287642	281843
TderCha	ToryEth1	ScafKen	0.0114038	6.79769	1.06307e-11	2.29078e+06	287411	280930
TderCha	ToryEth2	ScafKen	0.0104375	6.30478	2.88606e-10	2.29036e+06	287295	281360
TderCha	ToryKen1	ScafKen	0.00967964	5.62325	1.87397e-08	2.24539e+06	281390	275995
TderCha	ToryKen2	ScafKen	0.00675557	3.51727	0.000436013	1.95746e+06	248634	245298
TderCha	ToryNam1	ScafKen	0.0109405	6.95141	3.61648e-12	2.29133e+06	287628	281402
